GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US73430,73430,ZCTA5 73430,1279,184
8600000US73931,73931,ZCTA5 73931,682,120
8600000US73949,73949,ZCTA5 73949,1571,212
8600000US75001,75001,ZCTA5 75001,13214,328
8600000US75002,75002,ZCTA5 75002,65900,902
8600000US75006,75006,ZCTA5 75006,47590,371
8600000US75007,75007,ZCTA5 75007,51405,1028
8600000US75009,75009,ZCTA5 75009,8975,618
8600000US75010,75010,ZCTA5 75010,24035,1002
8600000US75013,75013,ZCTA5 75013,31388,861
8600000US75019,75019,ZCTA5 75019,39551,404
8600000US75020,75020,ZCTA5 75020,22343,562
8600000US75021,75021,ZCTA5 75021,8306,583
8600000US75022,75022,ZCTA5 75022,22884,766
8600000US75023,75023,ZCTA5 75023,46733,927
8600000US75024,75024,ZCTA5 75024,38889,1252
8600000US75025,75025,ZCTA5 75025,51924,1151
8600000US75028,75028,ZCTA5 75028,43753,678
8600000US75032,75032,ZCTA5 75032,29965,1062
8600000US75034,75034,ZCTA5 75034,75490,1249
8600000US75035,75035,ZCTA5 75035,51444,1029
8600000US75038,75038,ZCTA5 75038,28161,1128
8600000US75039,75039,ZCTA5 75039,12197,730
8600000US75040,75040,ZCTA5 75040,59792,1578
8600000US75041,75041,ZCTA5 75041,30684,1224
8600000US75042,75042,ZCTA5 75042,40185,1162
8600000US75043,75043,ZCTA5 75043,58120,1552
8600000US75044,75044,ZCTA5 75044,41578,1231
8600000US75048,75048,ZCTA5 75048,20930,40
8600000US75050,75050,ZCTA5 75050,40652,1492
8600000US75051,75051,ZCTA5 75051,41345,1454
8600000US75052,75052,ZCTA5 75052,89743,1536
8600000US75054,75054,ZCTA5 75054,6256,627
8600000US75056,75056,ZCTA5 75056,49514,1450
8600000US75057,75057,ZCTA5 75057,13749,841
8600000US75058,75058,ZCTA5 75058,3238,462
8600000US75060,75060,ZCTA5 75060,46409,1513
8600000US75061,75061,ZCTA5 75061,53233,1621
8600000US75062,75062,ZCTA5 75062,46200,1370
8600000US75063,75063,ZCTA5 75063,36425,1163
8600000US75065,75065,ZCTA5 75065,11033,283
8600000US75067,75067,ZCTA5 75067,61816,1543
8600000US75068,75068,ZCTA5 75068,38950,977
8600000US75069,75069,ZCTA5 75069,34471,1373
8600000US75070,75070,ZCTA5 75070,78837,1575
8600000US75071,75071,ZCTA5 75071,38811,1350
8600000US75074,75074,ZCTA5 75074,46606,1690
8600000US75075,75075,ZCTA5 75075,33884,1097
8600000US75076,75076,ZCTA5 75076,7541,645
8600000US75077,75077,ZCTA5 75077,36560,1341
8600000US75078,75078,ZCTA5 75078,11683,406
8600000US75080,75080,ZCTA5 75080,45616,1096
8600000US75081,75081,ZCTA5 75081,34286,909
8600000US75082,75082,ZCTA5 75082,21670,736
8600000US75087,75087,ZCTA5 75087,29630,1160
8600000US75088,75088,ZCTA5 75088,26237,854
8600000US75089,75089,ZCTA5 75089,29640,932
8600000US75090,75090,ZCTA5 75090,23833,921
8600000US75092,75092,ZCTA5 75092,22382,802
8600000US75093,75093,ZCTA5 75093,46990,1015
8600000US75094,75094,ZCTA5 75094,20536,392
8600000US75098,75098,ZCTA5 75098,48611,990
8600000US75101,75101,ZCTA5 75101,584,153
8600000US75102,75102,ZCTA5 75102,1261,342
8600000US75103,75103,ZCTA5 75103,13103,798
8600000US75104,75104,ZCTA5 75104,45935,331
8600000US75105,75105,ZCTA5 75105,205,114
8600000US75109,75109,ZCTA5 75109,4191,461
8600000US75110,75110,ZCTA5 75110,27901,545
8600000US75114,75114,ZCTA5 75114,4548,473
8600000US75115,75115,ZCTA5 75115,49839,102
8600000US75116,75116,ZCTA5 75116,20135,779
8600000US75117,75117,ZCTA5 75117,3307,326
8600000US75119,75119,ZCTA5 75119,25867,747
8600000US75124,75124,ZCTA5 75124,4052,518
8600000US75125,75125,ZCTA5 75125,6959,1035
8600000US75126,75126,ZCTA5 75126,33914,1097
8600000US75127,75127,ZCTA5 75127,1459,263
8600000US75132,75132,ZCTA5 75132,521,237
8600000US75134,75134,ZCTA5 75134,19910,952
8600000US75135,75135,ZCTA5 75135,5223,582
8600000US75137,75137,ZCTA5 75137,18865,779
8600000US75140,75140,ZCTA5 75140,6889,581
8600000US75141,75141,ZCTA5 75141,5347,182
8600000US75142,75142,ZCTA5 75142,18690,1054
8600000US75143,75143,ZCTA5 75143,15932,1289
8600000US75144,75144,ZCTA5 75144,3482,400
8600000US75146,75146,ZCTA5 75146,18567,1007
8600000US75147,75147,ZCTA5 75147,8475,1208
8600000US75148,75148,ZCTA5 75148,6436,708
8600000US75149,75149,ZCTA5 75149,58427,1652
8600000US75150,75150,ZCTA5 75150,58143,1374
