GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
8600000US78223,78223,ZCTA5 78223,7248,481,238,123,429,165,490,145,955,218,928,251,566,161,555,159,679,184,1826,281,582,179
8600000US78224,78224,ZCTA5 78224,2198,229,70,66,444,210,90,66,154,75,248,124,273,140,317,141,228,142,307,126,67,56
8600000US78225,78225,ZCTA5 78225,1397,210,71,51,77,59,110,60,73,63,150,87,129,68,162,85,193,118,308,109,124,74
8600000US78226,78226,ZCTA5 78226,1443,168,63,54,76,42,50,32,121,75,239,87,144,86,92,59,85,62,464,104,109,57
8600000US78227,78227,ZCTA5 78227,7056,471,277,143,533,220,693,211,823,244,707,214,562,209,690,240,604,227,1842,332,325,134
8600000US78228,78228,ZCTA5 78228,7424,446,281,141,576,177,670,211,1030,219,700,199,625,187,477,132,557,162,1741,295,767,171
8600000US78229,78229,ZCTA5 78229,11742,422,338,147,1287,361,1919,380,1413,265,1107,228,1035,273,783,205,773,191,2219,382,868,240
8600000US78230,78230,ZCTA5 78230,9519,505,223,128,804,247,1358,285,1360,267,1177,311,773,216,494,223,901,278,1789,247,640,242
8600000US78231,78231,ZCTA5 78231,939,208,52,74,57,66,158,120,72,72,53,47,23,33,182,122,54,54,253,113,35,41
8600000US78232,78232,ZCTA5 78232,6563,405,215,114,421,170,836,246,986,295,1047,318,641,233,444,179,651,237,1204,318,118,81
8600000US78233,78233,ZCTA5 78233,6902,467,246,147,855,251,1018,262,621,208,710,191,513,170,377,162,533,165,1370,334,659,204
8600000US78234,78234,ZCTA5 78234,853,90,5,9,21,18,109,45,115,50,107,48,126,65,93,40,91,53,113,52,73,42
8600000US78235,78235,ZCTA5 78235,419,106,34,38,53,46,52,32,44,27,120,77,19,25,0,13,19,22,19,17,59,87
8600000US78236,78236,ZCTA5 78236,412,48,15,23,0,19,41,28,6,9,124,79,74,44,12,15,33,30,35,21,72,45
8600000US78237,78237,ZCTA5 78237,3946,304,124,80,237,112,342,135,376,131,426,141,224,89,161,71,451,156,1065,191,540,140
8600000US78238,78238,ZCTA5 78238,5218,354,170,96,448,152,527,164,563,204,513,162,468,182,338,132,873,194,1098,253,220,103
8600000US78239,78239,ZCTA5 78239,2574,328,127,78,231,138,442,172,198,72,262,98,149,81,146,76,295,118,554,129,170,117
8600000US78240,78240,ZCTA5 78240,15463,570,574,162,1492,308,2267,378,2137,359,1570,356,1344,312,919,226,1355,267,3063,462,742,190
8600000US78242,78242,ZCTA5 78242,3820,325,31,36,298,128,422,174,537,181,456,132,394,137,177,76,160,81,1126,235,219,90
8600000US78243,78243,ZCTA5 78243,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
8600000US78244,78244,ZCTA5 78244,2783,307,61,75,108,65,535,154,403,155,228,112,263,135,150,87,333,171,624,202,78,80
8600000US78245,78245,ZCTA5 78245,6480,553,112,66,401,166,1056,324,948,348,680,223,737,290,390,150,585,201,1371,341,200,122
8600000US78247,78247,ZCTA5 78247,4191,378,76,58,373,181,573,196,725,210,474,189,383,176,400,190,157,75,775,238,255,102
8600000US78248,78248,ZCTA5 78248,1245,226,80,88,87,61,290,149,129,63,150,111,21,33,62,59,88,58,148,89,190,141
8600000US78249,78249,ZCTA5 78249,8390,401,108,50,452,163,1062,246,1167,244,888,241,592,178,419,186,621,183,2655,336,426,151
8600000US78250,78250,ZCTA5 78250,4859,456,77,70,311,130,715,236,616,186,701,218,616,252,334,143,455,175,877,235,157,102
8600000US78251,78251,ZCTA5 78251,8770,530,393,167,1016,269,773,260,1300,338,960,278,793,210,546,181,723,241,2048,407,218,145
8600000US78252,78252,ZCTA5 78252,550,182,0,21,50,79,61,64,213,127,57,56,13,15,15,23,93,79,0,21,48,78
8600000US78253,78253,ZCTA5 78253,2413,337,81,60,199,96,320,127,608,218,267,129,175,120,208,111,164,98,281,130,110,71
8600000US78254,78254,ZCTA5 78254,3305,395,51,42,397,214,362,158,508,162,312,160,224,104,345,160,237,126,716,223,153,85
8600000US78255,78255,ZCTA5 78255,547,132,0,21,152,98,36,26,96,55,46,39,31,30,11,18,0,21,90,53,85,62
8600000US78256,78256,ZCTA5 78256,2042,258,168,119,294,131,227,100,241,142,190,103,136,120,139,105,151,111,417,138,79,62
8600000US78257,78257,ZCTA5 78257,681,143,87,76,82,68,72,53,209,109,52,43,17,27,31,47,0,19,91,50,40,39
8600000US78258,78258,ZCTA5 78258,5502,367,161,108,436,170,1034,256,1008,254,504,165,546,207,239,125,226,105,1184,237,164,131
8600000US78259,78259,ZCTA5 78259,2395,308,40,49,203,106,500,165,251,128,288,149,312,146,181,108,106,57,314,150,200,122
8600000US78260,78260,ZCTA5 78260,1017,194,82,48,77,67,168,89,114,63,184,105,43,32,83,77,94,69,103,60,69,49
8600000US78261,78261,ZCTA5 78261,1105,222,46,66,109,84,333,159,123,66,116,59,43,40,45,42,53,57,220,127,17,23
8600000US78263,78263,ZCTA5 78263,244,138,8,13,0,19,0,19,22,28,26,31,14,22,50,79,0,19,75,83,49,44
8600000US78264,78264,ZCTA5 78264,476,160,17,18,10,16,23,25,23,32,0,21,8,13,18,28,31,36,119,78,227,127
8600000US78266,78266,ZCTA5 78266,156,96,0,19,15,24,0,19,0,19,0,19,83,80,0,19,17,25,0,19,41,51
8600000US78330,78330,ZCTA5 78330,57,24,0,13,10,12,4,6,10,12,5,8,0,13,0,13,6,9,13,16,9,10
