GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In households:,Margin of Error; In households:,Estimate; In households: - Under 3 years,Margin of Error; In households: - Under 3 years,Estimate; In households: - 3 and 4 years,Margin of Error; In households: - 3 and 4 years,Estimate; In households: - 5 years,Margin of Error; In households: - 5 years,Estimate; In households: - 6 to 8 years,Margin of Error; In households: - 6 to 8 years,Estimate; In households: - 9 to 11 years,Margin of Error; In households: - 9 to 11 years,Estimate; In households: - 12 to 14 years,Margin of Error; In households: - 12 to 14 years,Estimate; In households: - 15 to 17 years,Margin of Error; In households: - 15 to 17 years,Estimate; In group quarters,Margin of Error; In group quarters
8600000US75065,75065,ZCTA5 75065,2806,323,2806,323,552,165,441,187,165,94,517,148,374,114,433,197,324,126,0,20
8600000US75067,75067,ZCTA5 75067,16480,860,16480,860,3114,424,2455,413,1179,281,2602,300,2774,410,2314,316,2042,351,0,30
8600000US75068,75068,ZCTA5 75068,13872,816,13872,816,2615,392,1529,351,737,230,2758,518,2474,284,2109,365,1650,329,0,27
8600000US75069,75069,ZCTA5 75069,9408,743,9366,730,1701,362,1008,243,519,138,1574,282,1448,328,1586,354,1530,331,42,60
8600000US75070,75070,ZCTA5 75070,26594,1076,26594,1076,4041,466,2661,434,1478,279,4509,426,4931,436,4527,466,4447,545,0,30
8600000US75071,75071,ZCTA5 75071,11841,859,11785,836,1430,319,1573,303,535,173,2165,359,2356,397,2082,379,1644,297,56,62
8600000US75074,75074,ZCTA5 75074,12532,625,12532,625,1905,353,1388,265,963,200,2301,295,2149,325,2008,340,1818,315,0,27
8600000US75075,75075,ZCTA5 75075,7683,493,7680,493,1466,245,604,198,503,144,995,169,1366,248,1237,192,1509,248,3,3
8600000US75076,75076,ZCTA5 75076,1306,299,1306,299,171,81,100,64,32,26,223,157,216,86,313,115,251,108,0,18
8600000US75077,75077,ZCTA5 75077,9235,591,9234,591,1332,265,763,178,474,145,1242,237,1939,302,1743,284,1741,291,1,3
8600000US75078,75078,ZCTA5 75078,4932,383,4932,383,653,223,538,155,297,104,905,198,959,199,788,153,792,211,0,20
8600000US75080,75080,ZCTA5 75080,10067,701,10063,701,1664,359,1151,252,709,203,1703,268,1462,230,1793,271,1581,336,4,5
8600000US75081,75081,ZCTA5 75081,6975,590,6975,590,1304,282,884,217,425,131,978,187,1233,253,1158,263,993,217,0,27
8600000US75082,75082,ZCTA5 75082,5634,471,5634,471,842,218,388,137,292,114,1014,238,1196,197,920,160,982,176,0,24
8600000US75087,75087,ZCTA5 75087,8511,612,8511,612,1198,274,845,185,461,190,1534,294,1344,223,1628,357,1501,243,0,24
8600000US75088,75088,ZCTA5 75088,6183,426,6183,426,844,271,445,132,197,91,972,232,1030,190,1263,209,1432,325,0,24
8600000US75089,75089,ZCTA5 75089,8486,639,8486,639,816,266,731,257,576,240,1191,311,1648,391,1427,300,2097,414,0,24
8600000US75090,75090,ZCTA5 75090,6441,524,6431,524,1090,243,730,190,418,151,1236,270,1112,210,945,206,900,186,10,14
8600000US75092,75092,ZCTA5 75092,5036,458,5026,461,698,176,480,166,252,90,758,223,1036,229,881,231,921,197,10,20
8600000US75093,75093,ZCTA5 75093,11721,621,11718,621,1085,263,960,170,564,157,1982,254,2128,302,2271,303,2728,348,3,7
8600000US75094,75094,ZCTA5 75094,7263,557,7263,557,656,171,937,216,412,137,1326,219,1391,331,1338,261,1203,362,0,24
8600000US75098,75098,ZCTA5 75098,15241,805,15241,805,2220,437,1582,391,1047,273,2864,396,2617,521,2267,378,2644,448,0,27
8600000US75101,75101,ZCTA5 75101,232,84,232,84,23,16,18,16,27,22,27,19,38,22,51,36,48,27,0,13
8600000US75102,75102,ZCTA5 75102,185,119,185,119,44,58,11,11,0,13,6,7,68,68,38,33,18,16,0,13
8600000US75103,75103,ZCTA5 75103,2977,369,2953,359,437,132,326,112,156,91,526,157,464,135,517,133,527,126,24,37
8600000US75104,75104,ZCTA5 75104,13704,577,13702,577,2090,420,1441,285,691,195,2206,283,2258,311,2498,357,2518,391,2,4
8600000US75105,75105,ZCTA5 75105,32,30,31,30,6,9,6,9,0,13,11,11,0,13,4,6,4,6,1,2
8600000US75109,75109,ZCTA5 75109,947,188,947,188,103,68,44,43,64,32,156,63,154,57,203,89,223,87,0,13
8600000US75110,75110,ZCTA5 75110,7686,368,7527,362,1595,215,789,199,496,173,1207,230,1181,225,1157,256,1102,158,159,73
8600000US75114,75114,ZCTA5 75114,1331,275,1331,275,88,56,136,73,80,43,244,104,241,96,279,106,263,111,0,13
8600000US75115,75115,ZCTA5 75115,12847,809,12847,809,1303,361,1200,280,594,196,2453,407,2384,432,1988,343,2925,311,0,27
8600000US75116,75116,ZCTA5 75116,6289,625,6289,625,984,239,1137,233,310,119,1114,272,1253,243,651,183,840,254,0,24
8600000US75117,75117,ZCTA5 75117,661,151,661,151,105,51,19,16,49,35,162,78,76,42,145,63,105,41,0,13
8600000US75119,75119,ZCTA5 75119,7711,449,7711,449,997,246,643,165,477,145,1374,250,1192,236,1617,284,1411,317,0,24
8600000US75124,75124,ZCTA5 75124,812,180,811,181,209,74,87,62,37,24,132,50,81,38,121,53,144,52,1,3
8600000US75125,75125,ZCTA5 75125,1613,362,1613,362,205,102,167,59,137,86,172,73,331,110,266,148,335,172,0,18
8600000US75126,75126,ZCTA5 75126,11721,580,11721,580,1817,275,1513,270,641,173,1959,295,1999,288,1676,270,2116,284,0,27
8600000US75127,75127,ZCTA5 75127,528,163,528,163,77,49,13,9,17,17,87,53,97,44,130,58,107,46,0,13
8600000US75132,75132,ZCTA5 75132,292,265,292,265,46,59,70,56,53,84,51,68,53,84,19,33,0,13,0,13
8600000US75134,75134,ZCTA5 75134,7083,647,7070,649,1304,257,876,199,639,189,947,213,1052,261,961,327,1291,343,13,22
8600000US75135,75135,ZCTA5 75135,1720,311,1720,311,138,75,205,99,106,72,242,91,357,121,342,117,330,136,0,18
8600000US75137,75137,ZCTA5 75137,4260,497,4258,495,799,205,397,139,235,111,823,213,706,211,622,195,676,184,2,4
8600000US75140,75140,ZCTA5 75140,1477,260,1460,260,240,84,174,88,121,62,240,79,267,82,221,86,197,71,17,11
8600000US75141,75141,ZCTA5 75141,1320,161,1320,161,244,84,173,67,25,20,243,90,251,86,156,57,228,78,0,18
8600000US75142,75142,ZCTA5 75142,5018,505,4947,519,733,159,520,137,230,73,752,212,970,165,847,184,895,190,71,90
8600000US75143,75143,ZCTA5 75143,3609,545,3609,545,651,196,464,144,301,124,356,117,568,162,591,133,678,181,0,20
8600000US75144,75144,ZCTA5 75144,955,183,955,183,67,38,81,36,90,57,157,75,116,44,218,64,226,102,0,13
8600000US75146,75146,ZCTA5 75146,5377,597,5377,597,768,305,401,204,320,150,719,215,704,180,1281,264,1184,242,0,20
8600000US75147,75147,ZCTA5 75147,2479,586,2474,587,294,143,215,103,157,105,507,214,483,228,443,134,375,135,5,11
