GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2013 inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2013 inflation-adjusted dollars)
8600000US73430,73430,ZCTA5 73430,21530,2638
8600000US73931,73931,ZCTA5 73931,28544,4908
8600000US73949,73949,ZCTA5 73949,22134,2925
8600000US75001,75001,ZCTA5 75001,43919,5129
8600000US75002,75002,ZCTA5 75002,35585,1464
8600000US75006,75006,ZCTA5 75006,27010,1076
8600000US75007,75007,ZCTA5 75007,34664,1193
8600000US75009,75009,ZCTA5 75009,34844,5253
8600000US75010,75010,ZCTA5 75010,34545,2687
8600000US75013,75013,ZCTA5 75013,50803,2775
8600000US75019,75019,ZCTA5 75019,48040,1836
8600000US75020,75020,ZCTA5 75020,23846,1630
8600000US75021,75021,ZCTA5 75021,20513,1770
8600000US75022,75022,ZCTA5 75022,53645,3753
8600000US75023,75023,ZCTA5 75023,33699,1144
8600000US75024,75024,ZCTA5 75024,46453,2047
8600000US75025,75025,ZCTA5 75025,44665,2765
8600000US75028,75028,ZCTA5 75028,41480,1441
8600000US75032,75032,ZCTA5 75032,39244,2132
8600000US75034,75034,ZCTA5 75034,45004,1631
8600000US75035,75035,ZCTA5 75035,37363,1176
8600000US75038,75038,ZCTA5 75038,28391,1766
8600000US75039,75039,ZCTA5 75039,65135,7880
8600000US75040,75040,ZCTA5 75040,20387,809
8600000US75041,75041,ZCTA5 75041,16646,681
8600000US75042,75042,ZCTA5 75042,15085,1051
8600000US75043,75043,ZCTA5 75043,24046,869
8600000US75044,75044,ZCTA5 75044,30021,1183
8600000US75048,75048,ZCTA5 75048,34473,2492
8600000US75050,75050,ZCTA5 75050,21322,938
8600000US75051,75051,ZCTA5 75051,16077,1000
8600000US75052,75052,ZCTA5 75052,24938,739
8600000US75054,75054,ZCTA5 75054,34934,3063
8600000US75056,75056,ZCTA5 75056,37078,1691
8600000US75057,75057,ZCTA5 75057,22453,1677
8600000US75058,75058,ZCTA5 75058,32815,8292
8600000US75060,75060,ZCTA5 75060,18383,882
8600000US75061,75061,ZCTA5 75061,17739,709
8600000US75062,75062,ZCTA5 75062,22822,1049
8600000US75063,75063,ZCTA5 75063,42679,2330
8600000US75065,75065,ZCTA5 75065,32706,2638
8600000US75067,75067,ZCTA5 75067,28271,1434
8600000US75068,75068,ZCTA5 75068,29950,1501
8600000US75069,75069,ZCTA5 75069,26614,2362
8600000US75070,75070,ZCTA5 75070,37278,1518
8600000US75071,75071,ZCTA5 75071,32731,1796
8600000US75074,75074,ZCTA5 75074,24303,1063
8600000US75075,75075,ZCTA5 75075,35774,1796
8600000US75076,75076,ZCTA5 75076,27862,2875
8600000US75077,75077,ZCTA5 75077,41135,1898
8600000US75078,75078,ZCTA5 75078,41067,3393
8600000US75080,75080,ZCTA5 75080,30713,1321
8600000US75081,75081,ZCTA5 75081,30789,1752
8600000US75082,75082,ZCTA5 75082,49169,2791
8600000US75087,75087,ZCTA5 75087,35357,2170
8600000US75088,75088,ZCTA5 75088,31831,1570
8600000US75089,75089,ZCTA5 75089,30587,1548
8600000US75090,75090,ZCTA5 75090,16611,1001
8600000US75092,75092,ZCTA5 75092,29044,1815
8600000US75093,75093,ZCTA5 75093,59893,2579
8600000US75094,75094,ZCTA5 75094,37905,2859
8600000US75098,75098,ZCTA5 75098,29594,1507
8600000US75101,75101,ZCTA5 75101,12458,2861
8600000US75102,75102,ZCTA5 75102,19179,4134
8600000US75103,75103,ZCTA5 75103,23693,1750
8600000US75104,75104,ZCTA5 75104,29045,1318
8600000US75105,75105,ZCTA5 75105,21462,9283
8600000US75109,75109,ZCTA5 75109,28059,3623
8600000US75110,75110,ZCTA5 75110,19246,1056
8600000US75114,75114,ZCTA5 75114,25358,2858
8600000US75115,75115,ZCTA5 75115,28055,1351
8600000US75116,75116,ZCTA5 75116,20590,1350
8600000US75117,75117,ZCTA5 75117,20941,2198
8600000US75119,75119,ZCTA5 75119,20513,1372
8600000US75124,75124,ZCTA5 75124,20706,2505
8600000US75125,75125,ZCTA5 75125,18012,1733
8600000US75126,75126,ZCTA5 75126,29754,1323
8600000US75127,75127,ZCTA5 75127,20045,2500
8600000US75132,75132,ZCTA5 75132,31949,8150
