GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
8600000US73430,73430,ZCTA5 73430,593,166
8600000US73931,73931,ZCTA5 73931,634,182
8600000US73949,73949,ZCTA5 73949,730,241
8600000US75001,75001,ZCTA5 75001,1029,45
8600000US75002,75002,ZCTA5 75002,1182,65
8600000US75006,75006,ZCTA5 75006,923,28
8600000US75007,75007,ZCTA5 75007,1049,41
8600000US75009,75009,ZCTA5 75009,873,117
8600000US75010,75010,ZCTA5 75010,1125,47
8600000US75013,75013,ZCTA5 75013,1353,103
8600000US75019,75019,ZCTA5 75019,1183,45
8600000US75020,75020,ZCTA5 75020,752,34
8600000US75021,75021,ZCTA5 75021,603,70
8600000US75022,75022,ZCTA5 75022,"2,000+",***
8600000US75023,75023,ZCTA5 75023,1153,45
8600000US75024,75024,ZCTA5 75024,1174,29
8600000US75025,75025,ZCTA5 75025,1150,34
8600000US75028,75028,ZCTA5 75028,1563,120
8600000US75032,75032,ZCTA5 75032,1312,170
8600000US75034,75034,ZCTA5 75034,1186,56
8600000US75035,75035,ZCTA5 75035,1395,71
8600000US75038,75038,ZCTA5 75038,888,19
8600000US75039,75039,ZCTA5 75039,1195,36
8600000US75040,75040,ZCTA5 75040,1028,41
8600000US75041,75041,ZCTA5 75041,870,28
8600000US75042,75042,ZCTA5 75042,793,22
8600000US75043,75043,ZCTA5 75043,948,38
8600000US75044,75044,ZCTA5 75044,1079,53
8600000US75048,75048,ZCTA5 75048,1445,475
8600000US75050,75050,ZCTA5 75050,852,22
8600000US75051,75051,ZCTA5 75051,815,26
8600000US75052,75052,ZCTA5 75052,1107,37
8600000US75054,75054,ZCTA5 75054,1850,961
8600000US75056,75056,ZCTA5 75056,1119,51
8600000US75057,75057,ZCTA5 75057,952,36
8600000US75058,75058,ZCTA5 75058,897,98
8600000US75060,75060,ZCTA5 75060,827,24
8600000US75061,75061,ZCTA5 75061,771,13
8600000US75062,75062,ZCTA5 75062,844,18
8600000US75063,75063,ZCTA5 75063,1026,28
8600000US75065,75065,ZCTA5 75065,980,104
8600000US75067,75067,ZCTA5 75067,957,15
8600000US75068,75068,ZCTA5 75068,1422,120
8600000US75069,75069,ZCTA5 75069,919,31
8600000US75070,75070,ZCTA5 75070,1337,92
8600000US75071,75071,ZCTA5 75071,1174,62
8600000US75074,75074,ZCTA5 75074,1028,43
8600000US75075,75075,ZCTA5 75075,984,32
8600000US75076,75076,ZCTA5 75076,958,102
8600000US75077,75077,ZCTA5 75077,1139,72
8600000US75078,75078,ZCTA5 75078,1301,99
8600000US75080,75080,ZCTA5 75080,1033,44
8600000US75081,75081,ZCTA5 75081,1087,32
8600000US75082,75082,ZCTA5 75082,1191,51
8600000US75087,75087,ZCTA5 75087,1195,105
8600000US75088,75088,ZCTA5 75088,1380,76
8600000US75089,75089,ZCTA5 75089,1355,158
8600000US75090,75090,ZCTA5 75090,777,104
8600000US75092,75092,ZCTA5 75092,820,31
8600000US75093,75093,ZCTA5 75093,1127,38
8600000US75094,75094,ZCTA5 75094,1868,184
8600000US75098,75098,ZCTA5 75098,1151,86
8600000US75101,75101,ZCTA5 75101,725,166
8600000US75102,75102,ZCTA5 75102,1090,224
8600000US75103,75103,ZCTA5 75103,738,156
8600000US75104,75104,ZCTA5 75104,1157,47
8600000US75105,75105,ZCTA5 75105,-,**
8600000US75109,75109,ZCTA5 75109,1071,146
8600000US75110,75110,ZCTA5 75110,693,41
8600000US75114,75114,ZCTA5 75114,1139,108
8600000US75115,75115,ZCTA5 75115,947,43
8600000US75116,75116,ZCTA5 75116,879,44
8600000US75117,75117,ZCTA5 75117,580,113
8600000US75119,75119,ZCTA5 75119,850,44
8600000US75124,75124,ZCTA5 75124,713,272
8600000US75125,75125,ZCTA5 75125,888,91
8600000US75126,75126,ZCTA5 75126,1378,74
8600000US75127,75127,ZCTA5 75127,577,81
8600000US75132,75132,ZCTA5 75132,-,**
8600000US75134,75134,ZCTA5 75134,912,83
8600000US75135,75135,ZCTA5 75135,788,83
8600000US75137,75137,ZCTA5 75137,1107,64
8600000US75140,75140,ZCTA5 75140,657,252
8600000US75141,75141,ZCTA5 75141,855,140
8600000US75142,75142,ZCTA5 75142,822,42
8600000US75143,75143,ZCTA5 75143,788,63
8600000US75144,75144,ZCTA5 75144,588,108
8600000US75146,75146,ZCTA5 75146,874,68
8600000US75147,75147,ZCTA5 75147,734,71
