GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
8600000US73430,73430,ZCTA5 73430,1083,813
8600000US73931,73931,ZCTA5 73931,775,353
8600000US73949,73949,ZCTA5 73949,568,70
8600000US75001,75001,ZCTA5 75001,1144,32
8600000US75002,75002,ZCTA5 75002,1258,75
8600000US75006,75006,ZCTA5 75006,982,24
8600000US75007,75007,ZCTA5 75007,1092,38
8600000US75009,75009,ZCTA5 75009,996,340
8600000US75010,75010,ZCTA5 75010,1150,35
8600000US75013,75013,ZCTA5 75013,1343,63
8600000US75019,75019,ZCTA5 75019,1232,47
8600000US75020,75020,ZCTA5 75020,743,31
8600000US75021,75021,ZCTA5 75021,670,85
8600000US75022,75022,ZCTA5 75022,2108,341
8600000US75023,75023,ZCTA5 75023,1256,58
8600000US75024,75024,ZCTA5 75024,1230,24
8600000US75025,75025,ZCTA5 75025,1272,51
8600000US75028,75028,ZCTA5 75028,1593,64
8600000US75032,75032,ZCTA5 75032,1234,155
8600000US75034,75034,ZCTA5 75034,1215,33
8600000US75035,75035,ZCTA5 75035,1568,86
8600000US75038,75038,ZCTA5 75038,925,20
8600000US75039,75039,ZCTA5 75039,1267,45
8600000US75040,75040,ZCTA5 75040,1056,42
8600000US75041,75041,ZCTA5 75041,879,30
8600000US75042,75042,ZCTA5 75042,822,37
8600000US75043,75043,ZCTA5 75043,996,36
8600000US75044,75044,ZCTA5 75044,1110,38
8600000US75048,75048,ZCTA5 75048,1332,273
8600000US75050,75050,ZCTA5 75050,909,25
8600000US75051,75051,ZCTA5 75051,842,20
8600000US75052,75052,ZCTA5 75052,1159,46
8600000US75054,75054,ZCTA5 75054,2087,533
8600000US75056,75056,ZCTA5 75056,1203,44
8600000US75057,75057,ZCTA5 75057,1054,34
8600000US75058,75058,ZCTA5 75058,969,90
8600000US75060,75060,ZCTA5 75060,855,29
8600000US75061,75061,ZCTA5 75061,828,15
8600000US75062,75062,ZCTA5 75062,885,23
8600000US75063,75063,ZCTA5 75063,1075,27
8600000US75065,75065,ZCTA5 75065,1087,145
8600000US75067,75067,ZCTA5 75067,1008,21
8600000US75068,75068,ZCTA5 75068,1520,75
8600000US75069,75069,ZCTA5 75069,946,22
8600000US75070,75070,ZCTA5 75070,1398,64
8600000US75071,75071,ZCTA5 75071,1310,131
8600000US75074,75074,ZCTA5 75074,1105,30
8600000US75075,75075,ZCTA5 75075,1076,32
8600000US75076,75076,ZCTA5 75076,870,125
8600000US75077,75077,ZCTA5 75077,1251,148
8600000US75078,75078,ZCTA5 75078,1277,122
8600000US75080,75080,ZCTA5 75080,1131,43
8600000US75081,75081,ZCTA5 75081,1179,33
8600000US75082,75082,ZCTA5 75082,1347,68
8600000US75087,75087,ZCTA5 75087,1247,70
8600000US75088,75088,ZCTA5 75088,1340,92
8600000US75089,75089,ZCTA5 75089,1515,193
8600000US75090,75090,ZCTA5 75090,814,61
8600000US75092,75092,ZCTA5 75092,800,27
8600000US75093,75093,ZCTA5 75093,1215,38
8600000US75094,75094,ZCTA5 75094,2122,235
8600000US75098,75098,ZCTA5 75098,1243,85
8600000US75101,75101,ZCTA5 75101,886,425
8600000US75102,75102,ZCTA5 75102,965,111
8600000US75103,75103,ZCTA5 75103,884,71
