GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In households:,Margin of Error; In households:,Estimate; In households: - Under 3 years,Margin of Error; In households: - Under 3 years,Estimate; In households: - 3 and 4 years,Margin of Error; In households: - 3 and 4 years,Estimate; In households: - 5 years,Margin of Error; In households: - 5 years,Estimate; In households: - 6 to 8 years,Margin of Error; In households: - 6 to 8 years,Estimate; In households: - 9 to 11 years,Margin of Error; In households: - 9 to 11 years,Estimate; In households: - 12 to 14 years,Margin of Error; In households: - 12 to 14 years,Estimate; In households: - 15 to 17 years,Margin of Error; In households: - 15 to 17 years,Estimate; In group quarters,Margin of Error; In group quarters
8600000US73430,73430,ZCTA5 73430,252,74,252,74,47,29,35,24,19,13,44,31,18,18,46,29,43,22,0,9
8600000US73931,73931,ZCTA5 73931,242,76,242,76,30,17,18,13,8,8,52,25,48,23,42,28,44,23,0,9
8600000US73949,73949,ZCTA5 73949,344,105,344,105,52,29,30,27,29,18,54,30,61,33,52,30,66,36,0,11
8600000US75001,75001,ZCTA5 75001,1807,337,1807,337,409,153,244,133,69,54,302,95,253,114,260,120,270,125,0,20
8600000US75002,75002,ZCTA5 75002,20695,848,20695,848,2921,428,2247,340,1009,270,3636,437,3864,416,3466,398,3552,460,0,30
8600000US75006,75006,ZCTA5 75006,12631,625,12631,625,2568,399,1526,305,659,182,2252,341,1895,288,1761,264,1970,255,0,27
8600000US75007,75007,ZCTA5 75007,12962,567,12962,567,1843,261,1084,187,730,183,1937,240,2210,280,2555,320,2603,308,0,30
8600000US75009,75009,ZCTA5 75009,2637,318,2637,318,338,147,242,119,292,137,584,196,368,164,410,126,403,151,0,18
8600000US75010,75010,ZCTA5 75010,5422,628,5422,628,617,198,623,224,221,127,755,223,902,272,1202,314,1102,230,0,24
8600000US75013,75013,ZCTA5 75013,11118,559,11118,559,1047,259,1109,262,657,211,2145,326,2044,274,2485,373,1631,292,0,27
8600000US75019,75019,ZCTA5 75019,11301,388,11301,388,1362,237,900,149,645,127,1883,213,1828,241,2135,245,2548,266,0,27
8600000US75020,75020,ZCTA5 75020,5119,361,5117,360,857,145,665,141,401,147,700,169,612,149,960,188,922,212,2,6
8600000US75021,75021,ZCTA5 75021,2060,339,2060,339,326,126,207,62,54,41,358,129,371,125,468,145,276,106,0,18
8600000US75022,75022,ZCTA5 75022,7357,381,7357,381,786,184,630,149,312,104,1357,220,1267,204,1546,195,1459,270,0,24
8600000US75023,75023,ZCTA5 75023,11004,613,11004,613,1714,285,1300,235,451,140,1775,251,1960,292,1747,245,2057,296,0,27
8600000US75024,75024,ZCTA5 75024,9644,593,9644,593,1513,304,806,198,593,134,1787,328,1690,261,1527,239,1728,247,0,27
8600000US75025,75025,ZCTA5 75025,14460,633,14460,633,1539,254,1152,227,866,224,2477,346,2483,347,3274,371,2669,305,0,30
8600000US75028,75028,ZCTA5 75028,12825,435,12822,434,1411,235,1109,194,549,138,2032,310,2384,289,2628,290,2709,369,3,4
8600000US75032,75032,ZCTA5 75032,8638,502,8638,502,1020,257,604,175,515,153,1707,346,1420,246,1652,390,1720,233,0,27
8600000US75034,75034,ZCTA5 75034,27645,877,27645,877,3671,406,2730,384,1700,298,5705,613,5698,516,4425,374,3716,424,0,30
8600000US75035,75035,ZCTA5 75035,18479,621,18479,621,2473,359,2064,307,1380,292,3673,373,3096,305,2804,313,2989,359,0,30
8600000US75038,75038,ZCTA5 75038,7611,560,7611,560,2238,424,974,230,519,143,1391,241,1092,225,806,188,591,186,0,24
8600000US75039,75039,ZCTA5 75039,2355,365,2355,365,908,225,382,174,76,47,447,165,386,257,111,60,45,35,0,20
8600000US75040,75040,ZCTA5 75040,17779,838,17779,838,2838,380,2087,314,1152,252,2938,284,2663,322,3003,331,3098,370,0,30
8600000US75041,75041,ZCTA5 75041,10362,727,10361,727,1700,386,1099,274,637,204,1758,231,1757,318,1649,305,1761,333,1,2
8600000US75042,75042,ZCTA5 75042,12830,1016,12830,1016,1978,456,1151,264,831,174,2517,346,2159,332,2208,349,1986,362,0,27
