GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
8600000US73430,73430,ZCTA5 73430,942,134,24,34,0,9,0,9,0,9,0,9,0,9,3,6,0,9,0,9,0,9,0,9,39,27,17,18,22,21,4,8,283,73,39,20,68,30,179,64,27,19,168,66,46,24,19,19,4,8
8600000US73931,73931,ZCTA5 73931,381,60,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,5,4,7,0,9,8,7,7,8,17,17,3,5,103,32,16,13,36,34,68,29,26,14,75,28,14,12,0,9,0,9
8600000US73949,73949,ZCTA5 73949,953,130,11,13,0,11,0,11,0,11,0,11,11,14,5,7,3,5,40,25,18,19,30,21,46,25,16,14,29,30,7,7,211,56,30,17,62,35,139,45,52,31,198,66,19,11,7,9,19,20
8600000US75001,75001,ZCTA5 75001,10596,412,26,31,0,20,0,20,0,20,0,20,0,20,32,50,0,20,147,85,57,89,14,24,318,171,29,41,82,71,16,20,1191,256,169,108,433,134,1836,327,485,140,3804,362,1605,300,330,140,22,20
8600000US75002,75002,ZCTA5 75002,41517,984,305,167,0,30,0,30,0,30,127,135,99,96,111,156,129,113,85,70,84,68,218,119,163,101,218,114,201,166,470,149,5617,577,1051,301,3279,495,7352,730,3267,490,12795,999,4636,556,883,259,427,139
8600000US75006,75006,ZCTA5 75006,31682,657,991,241,33,36,0,27,60,47,132,82,382,173,159,76,397,131,1627,303,412,136,618,175,1638,353,421,124,487,160,430,136,5560,456,760,158,1698,266,4802,434,2026,338,6229,472,2323,332,420,158,77,46
8600000US75007,75007,ZCTA5 75007,35287,854,537,156,7,12,60,73,20,25,54,51,37,32,65,60,24,26,510,201,95,59,218,101,497,187,323,128,456,144,632,149,6085,570,812,180,2148,285,5866,496,2746,341,10254,658,2886,342,577,164,378,129
8600000US75009,75009,ZCTA5 75009,5878,489,0,18,0,18,0,18,0,18,0,18,0,18,9,21,0,18,73,82,29,27,21,32,84,65,43,39,25,26,108,101,1360,269,286,143,561,235,949,238,494,207,1358,266,425,163,37,36,16,25
8600000US75010,75010,ZCTA5 75010,16324,694,97,75,0,24,0,24,0,24,0,24,0,24,28,44,14,20,42,42,4,11,8,10,166,171,184,122,27,41,202,116,2800,518,263,177,1129,299,2703,612,1466,416,5156,595,1548,340,366,173,121,73
