GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars)
8600000US73430,73430,ZCTA5 73430,23152,4018
8600000US73931,73931,ZCTA5 73931,26587,3781
8600000US73949,73949,ZCTA5 73949,24939,3668
8600000US75001,75001,ZCTA5 75001,47661,2867
8600000US75002,75002,ZCTA5 75002,38383,1865
8600000US75006,75006,ZCTA5 75006,27672,1141
8600000US75007,75007,ZCTA5 75007,35240,1178
8600000US75009,75009,ZCTA5 75009,37022,4062
8600000US75010,75010,ZCTA5 75010,40000,2907
8600000US75013,75013,ZCTA5 75013,49796,2967
8600000US75019,75019,ZCTA5 75019,52500,1846
8600000US75020,75020,ZCTA5 75020,24884,1680
8600000US75021,75021,ZCTA5 75021,22716,2081
8600000US75022,75022,ZCTA5 75022,56578,3325
8600000US75023,75023,ZCTA5 75023,36223,1510
8600000US75024,75024,ZCTA5 75024,50453,1823
8600000US75025,75025,ZCTA5 75025,48410,2605
8600000US75028,75028,ZCTA5 75028,43521,1360
8600000US75032,75032,ZCTA5 75032,42324,2126
8600000US75034,75034,ZCTA5 75034,48798,1408
8600000US75035,75035,ZCTA5 75035,42991,1322
8600000US75038,75038,ZCTA5 75038,28204,1634
8600000US75039,75039,ZCTA5 75039,56759,3621
8600000US75040,75040,ZCTA5 75040,20772,690
8600000US75041,75041,ZCTA5 75041,16530,1253
8600000US75042,75042,ZCTA5 75042,16117,850
8600000US75043,75043,ZCTA5 75043,24619,899
8600000US75044,75044,ZCTA5 75044,29634,1466
8600000US75048,75048,ZCTA5 75048,32290,2057
8600000US75050,75050,ZCTA5 75050,21552,970
8600000US75051,75051,ZCTA5 75051,15981,787
8600000US75052,75052,ZCTA5 75052,26897,965
8600000US75054,75054,ZCTA5 75054,38402,3338
8600000US75056,75056,ZCTA5 75056,41233,2462
8600000US75057,75057,ZCTA5 75057,21765,1363
8600000US75058,75058,ZCTA5 75058,32743,5431
8600000US75060,75060,ZCTA5 75060,18402,702
8600000US75061,75061,ZCTA5 75061,18343,653
8600000US75062,75062,ZCTA5 75062,23381,1282
8600000US75063,75063,ZCTA5 75063,46445,2208
8600000US75065,75065,ZCTA5 75065,31818,2287
8600000US75067,75067,ZCTA5 75067,27528,808
8600000US75068,75068,ZCTA5 75068,32877,1263
8600000US75069,75069,ZCTA5 75069,29803,2383
8600000US75070,75070,ZCTA5 75070,39313,1098
8600000US75071,75071,ZCTA5 75071,35148,1499
8600000US75074,75074,ZCTA5 75074,25965,1150
8600000US75075,75075,ZCTA5 75075,35996,1718
8600000US75076,75076,ZCTA5 75076,34040,4820
8600000US75077,75077,ZCTA5 75077,44431,1914
8600000US75078,75078,ZCTA5 75078,45269,2636
8600000US75080,75080,ZCTA5 75080,34078,1572
8600000US75081,75081,ZCTA5 75081,32438,1583
8600000US75082,75082,ZCTA5 75082,51207,2707
8600000US75087,75087,ZCTA5 75087,38808,2618
8600000US75088,75088,ZCTA5 75088,34160,1837
8600000US75089,75089,ZCTA5 75089,32767,2230
8600000US75090,75090,ZCTA5 75090,17277,1014
8600000US75092,75092,ZCTA5 75092,30056,1953
8600000US75093,75093,ZCTA5 75093,63809,2977
8600000US75094,75094,ZCTA5 75094,38613,2527
8600000US75098,75098,ZCTA5 75098,29927,1431
8600000US75101,75101,ZCTA5 75101,14951,3045
8600000US75102,75102,ZCTA5 75102,19682,4039
8600000US75103,75103,ZCTA5 75103,25631,2576
8600000US75104,75104,ZCTA5 75104,26886,1128
8600000US75105,75105,ZCTA5 75105,22582,4697
8600000US75109,75109,ZCTA5 75109,27627,2745
8600000US75110,75110,ZCTA5 75110,20527,1444
8600000US75114,75114,ZCTA5 75114,24486,2892
8600000US75115,75115,ZCTA5 75115,29166,1485
8600000US75116,75116,ZCTA5 75116,19906,1292
8600000US75117,75117,ZCTA5 75117,25431,5271
8600000US75119,75119,ZCTA5 75119,21560,1288
8600000US75124,75124,ZCTA5 75124,24321,2588
8600000US75125,75125,ZCTA5 75125,19456,2763
8600000US75126,75126,ZCTA5 75126,29377,1077
8600000US75127,75127,ZCTA5 75127,17765,2571
8600000US75132,75132,ZCTA5 75132,24512,9662
8600000US75134,75134,ZCTA5 75134,19118,1217
8600000US75135,75135,ZCTA5 75135,24046,2523
8600000US75137,75137,ZCTA5 75137,25729,1183
8600000US75140,75140,ZCTA5 75140,19808,1887
8600000US75141,75141,ZCTA5 75141,13164,1641
8600000US75142,75142,ZCTA5 75142,22880,1241
8600000US75143,75143,ZCTA5 75143,21899,1863
8600000US75144,75144,ZCTA5 75144,23830,3299
8600000US75146,75146,ZCTA5 75146,24419,2767
8600000US75147,75147,ZCTA5 75147,21844,3584
8600000US75148,75148,ZCTA5 75148,17076,1754
8600000US75149,75149,ZCTA5 75149,19526,988
8600000US75150,75150,ZCTA5 75150,22221,953
8600000US75152,75152,ZCTA5 75152,19352,2565
8600000US75153,75153,ZCTA5 75153,19390,8881
8600000US75154,75154,ZCTA5 75154,26871,1294
8600000US75155,75155,ZCTA5 75155,17266,2274
8600000US75156,75156,ZCTA5 75156,24352,2463
8600000US75157,75157,ZCTA5 75157,18295,6592
8600000US75158,75158,ZCTA5 75158,25208,3081
8600000US75159,75159,ZCTA5 75159,19065,1270
8600000US75160,75160,ZCTA5 75160,24378,3044
8600000US75161,75161,ZCTA5 75161,20069,2047
8600000US75163,75163,ZCTA5 75163,35685,12448
8600000US75164,75164,ZCTA5 75164,26547,5123
8600000US75165,75165,ZCTA5 75165,26992,1252
8600000US75166,75166,ZCTA5 75166,32828,4214
8600000US75167,75167,ZCTA5 75167,30737,2869
8600000US75169,75169,ZCTA5 75169,26324,2936
8600000US75172,75172,ZCTA5 75172,13631,1859
8600000US75173,75173,ZCTA5 75173,27095,2848
8600000US75180,75180,ZCTA5 75180,13633,825
8600000US75181,75181,ZCTA5 75181,24905,1537
8600000US75182,75182,ZCTA5 75182,45118,6702
8600000US75189,75189,ZCTA5 75189,27997,1750
8600000US75201,75201,ZCTA5 75201,77758,8994
8600000US75202,75202,ZCTA5 75202,70445,14328
8600000US75203,75203,ZCTA5 75203,16910,1376
8600000US75204,75204,ZCTA5 75204,54751,2678
8600000US75205,75205,ZCTA5 75205,90836,6318
8600000US75206,75206,ZCTA5 75206,46471,2184
8600000US75207,75207,ZCTA5 75207,25004,3399
8600000US75208,75208,ZCTA5 75208,27528,1847
8600000US75209,75209,ZCTA5 75209,72298,7558
8600000US75210,75210,ZCTA5 75210,10514,1094
8600000US75211,75211,ZCTA5 75211,14261,721
8600000US75212,75212,ZCTA5 75212,12696,1133
8600000US75214,75214,ZCTA5 75214,60260,2924
8600000US75215,75215,ZCTA5 75215,15800,1429
8600000US75216,75216,ZCTA5 75216,12040,691
8600000US75217,75217,ZCTA5 75217,12445,557
8600000US75218,75218,ZCTA5 75218,48304,4718
8600000US75219,75219,ZCTA5 75219,69254,7320
8600000US75220,75220,ZCTA5 75220,27996,2072
8600000US75223,75223,ZCTA5 75223,19873,2119
8600000US75224,75224,ZCTA5 75224,16385,1141
8600000US75225,75225,ZCTA5 75225,111440,9178
8600000US75226,75226,ZCTA5 75226,27850,4505
8600000US75227,75227,ZCTA5 75227,14020,638
8600000US75228,75228,ZCTA5 75228,18172,692
8600000US75229,75229,ZCTA5 75229,48179,2347
8600000US75230,75230,ZCTA5 75230,71444,3554
8600000US75231,75231,ZCTA5 75231,24600,1465
8600000US75232,75232,ZCTA5 75232,18574,2033
8600000US75233,75233,ZCTA5 75233,16825,1570
8600000US75234,75234,ZCTA5 75234,28597,1835
8600000US75235,75235,ZCTA5 75235,22422,1939
8600000US75236,75236,ZCTA5 75236,19018,1719
8600000US75237,75237,ZCTA5 75237,14183,766
8600000US75238,75238,ZCTA5 75238,35289,2062
8600000US75240,75240,ZCTA5 75240,23491,1562
8600000US75241,75241,ZCTA5 75241,17490,2370
8600000US75243,75243,ZCTA5 75243,24137,1152
8600000US75244,75244,ZCTA5 75244,52284,3741
8600000US75246,75246,ZCTA5 75246,29127,9467
8600000US75247,75247,ZCTA5 75247,11066,4357
8600000US75248,75248,ZCTA5 75248,50689,3223
8600000US75249,75249,ZCTA5 75249,20652,1527
8600000US75251,75251,ZCTA5 75251,45816,11949
8600000US75252,75252,ZCTA5 75252,45899,2598
8600000US75253,75253,ZCTA5 75253,14188,1131
8600000US75254,75254,ZCTA5 75254,36397,2608
