GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Under 6 years:,Margin of Error; Total: - Under 6 years:,Estimate; Total: - Under 6 years: - Living with two parents:,Margin of Error; Total: - Under 6 years: - Living with two parents:,Estimate; Total: - Under 6 years: - Living with two parents: - Child is native,Margin of Error; Total: - Under 6 years: - Living with two parents: - Child is native,Estimate; Total: - Under 6 years: - Living with two parents: - Child is foreign born,Margin of Error; Total: - Under 6 years: - Living with two parents: - Child is foreign born,Estimate; Total: - Under 6 years: - Living with two parents: - Both parents native,Margin of Error; Total: - Under 6 years: - Living with two parents: - Both parents native,Estimate; Total: - Under 6 years: - Living with two parents: - Both parents foreign born:,Margin of Error; Total: - Under 6 years: - Living with two parents: - Both parents foreign born:,Estimate; Total: - Under 6 years: - Living with two parents: - Both parents foreign born: - Child is native,Margin of Error; Total: - Under 6 years: - Living with two parents: - Both parents foreign born: - Child is native,Estimate; Total: - Under 6 years: - Living with two parents: - Both parents foreign born: - Child is foreign born,Margin of Error; Total: - Under 6 years: - Living with two parents: - Both parents foreign born: - Child is foreign born,Estimate; Total: - Under 6 years: - Living with two parents: - One native and one foreign-born parent:,Margin of Error; Total: - Under 6 years: - Living with two parents: - One native and one foreign-born parent:,Estimate; Total: - Under 6 years: - Living with two parents: - One native and one foreign-born parent: - Child is native,Margin of Error; Total: - Under 6 years: - Living with two parents: - One native and one foreign-born parent: - Child is native,Estimate; Total: - Under 6 years: - Living with two parents: - One native and one foreign-born parent: - Child is foreign born,Margin of Error; Total: - Under 6 years: - Living with two parents: - One native and one foreign-born parent: - Child is foreign born,Estimate; Total: - Under 6 years: - Living with one parent:,Margin of Error; Total: - Under 6 years: - Living with one parent:,Estimate; Total: - Under 6 years: - Living with one parent: - Child is native,Margin of Error; Total: - Under 6 years: - Living with one parent: - Child is native,Estimate; Total: - Under 6 years: - Living with one parent: - Child is foreign born,Margin of Error; Total: - Under 6 years: - Living with one parent: - Child is foreign born,Estimate; Total: - Under 6 years: - Living with one parent: - Native parent,Margin of Error; Total: - Under 6 years: - Living with one parent: - Native parent,Estimate; Total: - Under 6 years: - Living with one parent: - Foreign-born parent:,Margin of Error; Total: - Under 6 years: - Living with one parent: - Foreign-born parent:,Estimate; Total: - Under 6 years: - Living with one parent: - Foreign-born parent: - Child is native,Margin of Error; Total: - Under 6 years: - Living with one parent: - Foreign-born parent: - Child is native,Estimate; Total: - Under 6 years: - Living with one parent: - Foreign-born parent: - Child is foreign born,Margin of Error; Total: - Under 6 years: - Living with one parent: - Foreign-born parent: - Child is foreign born,Estimate; Total: - 6 to 17 years:,Margin of Error; Total: - 6 to 17 years:,Estimate; Total: - 6 to 17 years: - Living with two parents:,Margin of Error; Total: - 6 to 17 years: - Living with two parents:,Estimate; Total: - 6 to 17 years: - Living with two parents: - Child is native,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Child is native,Estimate; Total: - 6 to 17 years: - Living with two parents: - Child is foreign born,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Child is foreign born,Estimate; Total: - 6 to 17 years: - Living with two parents: - Both parents native,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Both parents native,Estimate; Total: - 6 to 17 years: - Living with two parents: - Both parents foreign born:,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Both parents foreign born:,Estimate; Total: - 6 to 17 years: - Living with two parents: - Both parents foreign born: - Child is native,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Both parents foreign born: - Child is native,Estimate; Total: - 6 to 17 years: - Living with two parents: - Both parents foreign born: - Child is foreign born,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Both parents foreign born: - Child is foreign born,Estimate; Total: - 6 to 17 years: - Living with two parents: - One native and one foreign-born parent:,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - One native and one foreign-born parent:,Estimate; Total: - 6 to 17 years: - Living with two parents: - One native and one foreign-born parent: - Child is native,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - One native and one foreign-born parent: - Child is native,Estimate; Total: - 6 to 17 years: - Living with two parents: - One native and one foreign-born parent: - Child is foreign born,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - One native and one foreign-born parent: - Child is foreign born,Estimate; Total: - 6 to 17 years: - Living with one parent:,Margin of Error; Total: - 6 to 17 years: - Living with one parent:,Estimate; Total: - 6 to 17 years: - Living with one parent: - Child is native,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Child is native,Estimate; Total: - 6 to 17 years: - Living with one parent: - Child is foreign born,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Child is foreign born,Estimate; Total: - 6 to 17 years: - Living with one parent: - Native parent,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Native parent,Estimate; Total: - 6 to 17 years: - Living with one parent: - Foreign-born parent:,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Foreign-born parent:,Estimate; Total: - 6 to 17 years: - Living with one parent: - Foreign-born parent: - Child is native,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Foreign-born parent: - Child is native,Estimate; Total: - 6 to 17 years: - Living with one parent: - Foreign-born parent: - Child is foreign born,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Foreign-born parent: - Child is foreign born
8600000US73430,73430,ZCTA5 73430,218,63,78,48,67,46,67,46,0,9,67,46,0,9,0,9,0,9,0,9,0,9,0,9,11,18,11,18,0,9,11,18,0,9,0,9,0,9,140,49,116,44,116,44,0,9,116,44,0,9,0,9,0,9,0,9,0,9,0,9,24,26,24,26,0,9,24,26,0,9,0,9,0,9
8600000US73931,73931,ZCTA5 73931,192,66,64,26,62,26,62,26,0,9,47,23,9,9,9,9,0,9,6,8,6,8,0,9,2,3,2,3,0,9,2,3,0,9,0,9,0,9,128,54,90,52,90,52,0,9,76,49,14,20,14,20,0,9,0,9,0,9,0,9,38,25,38,25,0,9,38,25,0,9,0,9,0,9
8600000US73949,73949,ZCTA5 73949,337,111,129,49,90,41,90,41,0,11,71,40,6,9,6,9,0,11,13,16,13,16,0,11,39,34,39,34,0,11,13,16,26,32,26,32,0,11,208,88,188,87,160,78,28,28,99,63,78,58,50,42,28,28,11,11,11,11,0,11,20,18,16,17,4,6,7,10,13,15,9,14,4,6
8600000US75001,75001,ZCTA5 75001,1647,314,713,176,485,141,375,125,110,98,172,86,282,140,181,97,101,98,31,30,31,30,0,20,228,118,228,118,0,20,194,110,34,37,34,37,0,20,934,276,592,261,547,252,45,49,173,117,372,243,327,236,45,49,47,42,47,42,0,20,342,133,342,133,0,20,342,133,0,20,0,20,0,20
8600000US75002,75002,ZCTA5 75002,19663,792,5580,598,4856,575,4798,565,58,61,3364,472,870,320,821,318,49,59,622,320,622,320,0,30,724,236,720,236,4,9,674,241,50,71,46,72,4,9,14083,828,11672,842,11011,839,661,292,8222,891,2487,536,1870,410,617,293,963,290,947,292,16,26,2411,481,2306,452,105,111,1927,421,484,272,379,224,105,111
8600000US75006,75006,ZCTA5 75006,12457,580,4429,513,3290,482,3232,485,58,64,1257,365,1514,308,1456,287,58,64,519,201,519,201,0,30,1139,298,1139,298,0,30,668,235,471,194,471,194,0,30,8028,514,5505,555,4888,523,617,210,1284,325,3512,589,2988,532,524,210,709,232,616,215,93,66,2523,366,2411,352,112,85,998,267,1525,331,1413,306,112,85
8600000US75007,75007,ZCTA5 75007,12586,755,3640,392,2574,344,2477,343,97,76,1288,247,937,214,879,220,58,57,349,163,315,134,34,48,1066,284,1045,288,21,33,760,214,306,165,285,166,21,33,8946,566,6610,483,6052,429,558,162,3112,321,2769,402,2296,346,473,154,729,238,689,232,40,49,2336,389,2192,369,144,79,1708,332,628,194,577,184,51,49
8600000US75009,75009,ZCTA5 75009,2398,290,611,201,536,192,536,192,0,20,457,178,75,85,75,85,0,20,4,6,4,6,0,20,75,62,75,62,0,20,75,62,0,20,0,20,0,20,1787,282,1528,290,1506,292,22,35,1308,270,18,28,18,28,0,20,202,177,202,177,0,20,259,143,259,143,0,20,243,142,16,29,16,29,0,20
8600000US75010,75010,ZCTA5 75010,6014,638,1709,386,1340,331,1288,322,52,50,666,265,546,206,494,192,52,50,128,87,128,87,0,24,369,185,369,185,0,24,275,169,94,106,94,106,0,24,4305,528,3479,530,3200,500,279,154,1543,434,1629,332,1350,285,279,154,307,201,307,201,0,24,826,380,809,380,17,32,457,154,369,349,352,347,17,32
