GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In households:,Margin of Error; In households:,Estimate; In households: - Under 3 years,Margin of Error; In households: - Under 3 years,Estimate; In households: - 3 and 4 years,Margin of Error; In households: - 3 and 4 years,Estimate; In households: - 5 years,Margin of Error; In households: - 5 years,Estimate; In households: - 6 to 8 years,Margin of Error; In households: - 6 to 8 years,Estimate; In households: - 9 to 11 years,Margin of Error; In households: - 9 to 11 years,Estimate; In households: - 12 to 14 years,Margin of Error; In households: - 12 to 14 years,Estimate; In households: - 15 to 17 years,Margin of Error; In households: - 15 to 17 years,Estimate; In group quarters,Margin of Error; In group quarters
8600000US73430,73430,ZCTA5 73430,216,72,216,72,37,26,39,25,17,19,22,19,25,19,25,18,51,26,0,9
8600000US73931,73931,ZCTA5 73931,128,48,128,48,22,20,12,10,10,7,21,14,27,15,19,13,17,13,0,9
8600000US73949,73949,ZCTA5 73949,283,105,283,105,70,36,48,39,25,20,38,28,41,26,25,15,36,29,0,11
8600000US75001,75001,ZCTA5 75001,1798,325,1798,325,376,141,200,132,105,66,380,136,246,133,191,87,300,127,0,21
8600000US75002,75002,ZCTA5 75002,20580,678,20580,678,2484,400,1955,354,1041,266,3628,340,4292,465,3431,441,3749,452,0,31
8600000US75006,75006,ZCTA5 75006,13243,675,13243,675,2367,368,1294,210,493,163,2398,321,2221,318,2123,296,2347,298,0,31
8600000US75007,75007,ZCTA5 75007,12077,620,12077,620,1860,275,1019,157,531,112,1763,226,2178,244,2286,272,2440,313,0,31
8600000US75009,75009,ZCTA5 75009,2696,415,2696,415,341,156,261,109,297,241,426,168,338,147,527,140,506,152,0,21
8600000US75010,75010,ZCTA5 75010,6361,531,6361,531,913,237,793,226,204,107,783,213,1160,299,1306,267,1202,228,0,25
8600000US75013,75013,ZCTA5 75013,12114,665,12114,665,965,250,1092,259,676,193,2177,304,2259,360,2652,365,2293,425,0,28
8600000US75019,75019,ZCTA5 75019,11239,421,11239,421,1240,183,1131,210,606,139,1679,223,2044,221,2065,264,2474,277,0,28
8600000US75020,75020,ZCTA5 75020,4631,299,4631,299,877,163,479,131,229,97,722,187,759,162,739,190,826,178,0,25
8600000US75021,75021,ZCTA5 75021,2195,366,2195,366,349,142,194,65,66,50,396,100,416,127,475,126,299,93,0,19
8600000US75022,75022,ZCTA5 75022,7650,373,7650,373,798,163,697,169,317,93,1254,157,1251,179,1813,239,1520,191,0,25
8600000US75023,75023,ZCTA5 75023,11008,657,11006,656,1640,285,1242,274,368,129,1587,281,2028,253,1908,257,2233,349,2,6
8600000US75024,75024,ZCTA5 75024,9732,440,9732,440,1424,259,738,166,716,178,1622,251,1819,246,1698,256,1715,183,0,28
8600000US75025,75025,ZCTA5 75025,13771,647,13771,647,1468,263,1204,209,710,174,2496,327,2220,306,2895,358,2778,315,0,31
8600000US75028,75028,ZCTA5 75028,12711,473,12709,473,1652,260,976,157,595,125,1901,240,2391,318,2789,312,2405,269,2,3
8600000US75032,75032,ZCTA5 75032,8391,438,8391,438,1007,214,421,162,396,132,1635,223,1323,206,1608,269,2001,226,0,28
8600000US75034,75034,ZCTA5 75034,29384,911,29384,911,3556,387,3005,359,1488,270,5665,443,6114,552,5277,392,4279,368,0,31
8600000US75035,75035,ZCTA5 75035,21222,747,21222,747,2527,298,2012,214,1205,173,3941,431,3954,360,3672,326,3911,390,0,31
8600000US75038,75038,ZCTA5 75038,7740,626,7740,626,1895,369,1066,246,445,144,1605,293,977,212,991,219,761,201,0,25
8600000US75039,75039,ZCTA5 75039,3303,556,3303,556,1190,281,379,137,199,85,749,243,506,232,119,69,161,111,0,21
8600000US75040,75040,ZCTA5 75040,17299,759,17299,759,2748,394,1911,364,944,203,2799,415,2872,332,3128,391,2897,392,0,31
8600000US75041,75041,ZCTA5 75041,10919,786,10916,786,1958,387,1102,298,533,162,2015,314,1946,323,1560,260,1802,315,3,4
8600000US75042,75042,ZCTA5 75042,12062,962,12061,962,1878,366,1065,281,654,164,2347,410,2171,357,1802,302,2144,331,1,3
8600000US75043,75043,ZCTA5 75043,16180,980,16144,982,2591,413,1909,324,524,175,3310,465,3143,469,2608,412,2059,374,36,27
8600000US75044,75044,ZCTA5 75044,8529,487,8529,487,878,226,525,175,378,166,1363,264,1400,254,1767,314,2218,349,0,28
8600000US75048,75048,ZCTA5 75048,6178,548,6178,548,1546,506,620,174,308,161,706,242,961,303,1030,302,1007,333,0,25
8600000US75050,75050,ZCTA5 75050,12157,774,12157,774,2536,353,1392,319,610,178,2079,356,1587,247,1839,308,2114,303,0,28
8600000US75051,75051,ZCTA5 75051,12269,928,12269,928,2150,437,1390,278,975,212,1895,322,2042,339,1727,267,2090,383,0,28
8600000US75052,75052,ZCTA5 75052,25889,1301,25888,1300,3204,493,2407,418,1408,258,4392,480,4670,595,4947,600,4860,602,1,3
8600000US75054,75054,ZCTA5 75054,3289,551,3289,551,394,137,466,165,296,133,535,207,759,216,387,149,452,183,0,21
8600000US75056,75056,ZCTA5 75056,14565,787,14565,787,1868,339,2043,489,723,196,2694,388,2475,419,2483,426,2279,418,0,31
8600000US75057,75057,ZCTA5 75057,3834,336,3831,336,532,123,417,132,249,106,843,165,575,171,653,136,562,147,3,4
8600000US75058,75058,ZCTA5 75058,679,158,679,158,118,53,62,40,44,24,72,37,61,42,201,76,121,58,0,13
