GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16
Id,Id2,Geography,Estimate; Median family income in the past 12 months (in 2017 inflation-adjusted dollars) -- - Total:,Margin of Error; Median family income in the past 12 months (in 2017 inflation-adjusted dollars) -- - Total:,Estimate; Median family income in the past 12 months (in 2017 inflation-adjusted dollars) -- - Married-couple family -- - Total,Margin of Error; Median family income in the past 12 months (in 2017 inflation-adjusted dollars) -- - Married-couple family -- - Total,Estimate; Median family income in the past 12 months (in 2017 inflation-adjusted dollars) -- - Married-couple family -- - With own children of the householder under 18 years,Margin of Error; Median family income in the past 12 months (in 2017 inflation-adjusted dollars) -- - Married-couple family -- - With own children of the householder under 18 years,Estimate; Median family income in the past 12 months (in 2017 inflation-adjusted dollars) -- - Married-couple family -- - No own children of the householder under 18 years,Margin of Error; Median family income in the past 12 months (in 2017 inflation-adjusted dollars) -- - Married-couple family -- - No own children of the householder under 18 years,Estimate; Median family income in the past 12 months (in 2017 inflation-adjusted dollars) -- - Other family -- - Total,Margin of Error; Median family income in the past 12 months (in 2017 inflation-adjusted dollars) -- - Other family -- - Total,"Estimate; Median family income in the past 12 months (in 2017 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - Total","Margin of Error; Median family income in the past 12 months (in 2017 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - Total","Estimate; Median family income in the past 12 months (in 2017 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - With own children of the householder under 18 years","Margin of Error; Median family income in the past 12 months (in 2017 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - With own children of the householder under 18 years","Estimate; Median family income in the past 12 months (in 2017 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - No own children of the householder under 18 years","Margin of Error; Median family income in the past 12 months (in 2017 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - No own children of the householder under 18 years","Estimate; Median family income in the past 12 months (in 2017 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - Total","Margin of Error; Median family income in the past 12 months (in 2017 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - Total","Estimate; Median family income in the past 12 months (in 2017 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - With own children of the householder under 18 years","Margin of Error; Median family income in the past 12 months (in 2017 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - With own children of the householder under 18 years","Estimate; Median family income in the past 12 months (in 2017 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - No own children of the householder under 18 years","Margin of Error; Median family income in the past 12 months (in 2017 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - No own children of the householder under 18 years"
8600000US73430,73430,ZCTA5 73430,66625,3771,66188,4987,78750,16893,60268,6680,-,**,-,**,-,**,-,**,-,**,-,**,-,**
8600000US73931,73931,ZCTA5 73931,64688,9739,72500,14707,105139,66566,64844,9405,26406,12992,-,**,-,**,-,**,27188,20651,26563,6195,-,**
8600000US73949,73949,ZCTA5 73949,54886,11969,54773,15422,38864,19441,63824,16469,57857,38627,91964,54003,-,**,-,**,37708,32679,"2,500-",***,40417,26298
8600000US75001,75001,ZCTA5 75001,88378,10203,102016,10945,74335,6703,113542,16200,56103,16109,93487,69415,109018,94665,74875,68964,52619,18579,37375,19122,58750,10038
8600000US75002,75002,ZCTA5 75002,104794,3344,113418,4543,120363,7415,108434,4226,58329,6006,49079,8684,51691,35920,45110,12328,60456,6727,53799,11003,77000,25536
8600000US75006,75006,ZCTA5 75006,63699,5274,71726,3218,58611,6907,83475,5411,44071,6450,55125,10062,50379,22607,59936,9888,40707,9054,26609,5541,57639,13940
8600000US75007,75007,ZCTA5 75007,91631,3185,101859,3887,99447,8611,103038,4977,55890,5354,62083,7433,60929,4852,65625,17228,50019,5975,47037,7931,53472,10394
8600000US75009,75009,ZCTA5 75009,95743,11257,99420,18515,109189,24895,91488,16340,48816,6553,-,**,-,**,166250,89859,48914,3898,48750,2076,-,**
8600000US75010,75010,ZCTA5 75010,103111,5240,111473,4993,107538,8710,114544,8683,70521,12899,86341,4767,89844,21860,83421,13723,55781,23692,47212,24866,61875,45602
8600000US75013,75013,ZCTA5 75013,144004,12420,158966,9258,169970,15837,125526,28152,63937,5943,103333,69994,103164,77193,-,**,63346,5106,64323,8005,62753,47885
8600000US75019,75019,ZCTA5 75019,136485,6999,151685,8482,159615,8940,141076,11241,57520,8026,73409,45646,96029,56685,58333,36027,54234,8187,42857,26267,56949,11365
8600000US75020,75020,ZCTA5 75020,64941,4152,74655,6408,76961,9969,72348,8291,36023,4476,39467,7847,60962,33292,38163,12427,32571,7332,26541,8237,40357,13284
8600000US75021,75021,ZCTA5 75021,56911,6759,67007,17158,66982,23282,67036,20300,26341,4757,25815,14558,-,**,26033,17985,26719,6708,18478,3813,51667,42448
8600000US75022,75022,ZCTA5 75022,159231,5339,164509,9764,169968,6936,158364,11705,87946,28040,126563,59212,158194,76921,98750,92904,80577,19531,77000,18800,100556,75274
8600000US75023,75023,ZCTA5 75023,90975,3953,99298,5009,99058,8131,99538,7036,59056,10171,61583,25360,51650,13015,88466,24426,58051,12493,39320,18037,78036,14543
8600000US75024,75024,ZCTA5 75024,116994,5909,127655,3782,137500,12311,115603,9721,63228,6690,52361,34165,52750,29947,51818,49503,63681,3660,60872,15697,73264,24757
