GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In households:,Margin of Error; In households:,Estimate; In households: - Under 3 years,Margin of Error; In households: - Under 3 years,Estimate; In households: - 3 and 4 years,Margin of Error; In households: - 3 and 4 years,Estimate; In households: - 5 years,Margin of Error; In households: - 5 years,Estimate; In households: - 6 to 8 years,Margin of Error; In households: - 6 to 8 years,Estimate; In households: - 9 to 11 years,Margin of Error; In households: - 9 to 11 years,Estimate; In households: - 12 to 14 years,Margin of Error; In households: - 12 to 14 years,Estimate; In households: - 15 to 17 years,Margin of Error; In households: - 15 to 17 years,Estimate; In group quarters,Margin of Error; In group quarters
8600000US73430,73430,ZCTA5 73430,260,67,260,67,41,29,40,26,14,10,30,26,35,25,48,29,52,27,0,9
8600000US73931,73931,ZCTA5 73931,199,66,199,66,33,19,26,15,8,7,32,20,39,19,32,22,29,16,0,9
8600000US73949,73949,ZCTA5 73949,337,111,337,111,57,30,46,36,26,20,50,30,56,35,43,29,59,37,0,11
8600000US75001,75001,ZCTA5 75001,1699,314,1699,314,394,138,214,112,105,52,354,129,210,100,179,94,243,109,0,20
8600000US75002,75002,ZCTA5 75002,20351,720,20351,720,2818,460,2188,368,945,219,3570,324,3943,428,3220,401,3667,469,0,30
8600000US75006,75006,ZCTA5 75006,12847,593,12847,593,2579,399,1373,284,564,169,2368,329,1937,304,1857,293,2169,295,0,30
8600000US75007,75007,ZCTA5 75007,12911,747,12911,747,1865,272,1230,191,671,162,1957,316,2194,271,2431,294,2563,260,0,30
8600000US75009,75009,ZCTA5 75009,2579,294,2579,294,269,112,213,102,196,112,466,138,365,127,531,150,539,169,0,20
8600000US75010,75010,ZCTA5 75010,6061,636,6061,636,786,223,722,216,201,138,781,205,1089,304,1283,292,1199,194,0,24
8600000US75013,75013,ZCTA5 75013,11768,641,11768,641,1098,282,990,307,714,220,1988,349,2239,350,2477,431,2262,495,0,27
8600000US75019,75019,ZCTA5 75019,11239,394,11239,394,1180,220,1056,175,566,144,1812,207,2008,243,2119,243,2498,265,0,27
8600000US75020,75020,ZCTA5 75020,4946,363,4944,363,880,165,594,152,260,96,725,152,710,155,812,177,963,200,2,6
8600000US75021,75021,ZCTA5 75021,2128,352,2128,352,347,117,213,69,75,55,338,107,407,130,481,138,267,116,0,18
8600000US75022,75022,ZCTA5 75022,7593,373,7593,373,824,190,659,136,311,83,1239,158,1229,175,1770,236,1561,201,0,24
8600000US75023,75023,ZCTA5 75023,11099,576,11099,576,1745,270,1368,275,399,124,1464,251,1863,281,1882,281,2378,320,0,27
8600000US75024,75024,ZCTA5 75024,9502,513,9502,513,1282,236,711,166,669,175,1628,245,1810,296,1608,187,1794,234,0,27
8600000US75025,75025,ZCTA5 75025,14112,676,14112,676,1515,252,1100,201,747,193,2486,352,2413,308,3202,363,2649,315,0,30
8600000US75028,75028,ZCTA5 75028,12608,476,12606,476,1702,254,956,180,613,124,1738,238,2391,261,2660,275,2546,294,2,3
8600000US75032,75032,ZCTA5 75032,8474,508,8474,508,1031,218,494,156,571,154,1568,272,1333,235,1738,318,1739,241,0,27
8600000US75034,75034,ZCTA5 75034,28424,783,28424,783,3561,385,2707,291,1619,265,5605,473,5740,508,4997,384,4195,383,0,30
8600000US75035,75035,ZCTA5 75035,19810,516,19810,516,2576,334,2035,245,1190,202,3707,318,3353,339,3444,376,3505,299,0,30
8600000US75038,75038,ZCTA5 75038,7523,629,7523,629,2005,371,1022,239,510,156,1412,274,1092,294,818,221,664,202,0,24
8600000US75039,75039,ZCTA5 75039,2650,508,2650,508,893,203,285,123,116,51,721,235,378,247,134,73,123,87,0,20
8600000US75040,75040,ZCTA5 75040,17893,870,17893,870,2661,374,2057,370,1057,210,3230,394,2624,384,3199,375,3065,411,0,30
8600000US75041,75041,ZCTA5 75041,10746,697,10744,697,1722,295,868,245,514,173,2020,291,2007,297,1694,311,1919,344,2,3
8600000US75042,75042,ZCTA5 75042,12048,945,12047,945,1840,356,1045,270,676,172,2338,355,2228,358,1984,368,1936,307,1,3
8600000US75043,75043,ZCTA5 75043,16167,863,16135,861,2635,432,1721,381,670,149,3372,394,3194,433,2514,387,2029,327,32,27
8600000US75044,75044,ZCTA5 75044,9535,774,9535,774,1174,256,690,215,428,144,1435,256,1745,355,1793,294,2270,388,0,27
8600000US75048,75048,ZCTA5 75048,6287,476,6287,476,1388,379,636,190,456,182,907,254,827,283,1004,253,1069,326,0,24
8600000US75050,75050,ZCTA5 75050,11558,754,11558,754,2341,381,1236,315,708,188,1921,276,1636,273,1777,257,1939,299,0,27
8600000US75051,75051,ZCTA5 75051,12602,866,12602,866,2284,421,1165,256,949,226,1853,304,2172,310,1991,357,2188,319,0,27
8600000US75052,75052,ZCTA5 75052,26067,1061,26067,1061,3531,491,2635,432,1613,296,4195,540,4691,489,4837,535,4565,562,0,30
8600000US75054,75054,ZCTA5 75054,3307,551,3307,551,376,147,473,137,285,120,581,195,665,187,433,153,494,195,0,18
8600000US75056,75056,ZCTA5 75056,14231,753,14231,753,1871,309,2025,391,542,156,2761,365,2564,391,2374,333,2094,385,0,30
8600000US75057,75057,ZCTA5 75057,4007,374,4005,374,660,147,499,129,206,85,807,178,577,145,640,160,616,157,2,4
8600000US75058,75058,ZCTA5 75058,668,164,668,164,113,54,73,42,44,28,92,48,61,35,157,67,128,50,0,13
8600000US75060,75060,ZCTA5 75060,14595,673,14595,673,2266,426,1765,277,729,174,2783,400,2656,324,2392,384,2004,355,0,27
8600000US75061,75061,ZCTA5 75061,16700,872,16696,871,2988,341,2347,332,873,161,2986,309,2550,296,2259,304,2693,330,4,8
8600000US75062,75062,ZCTA5 75062,12950,938,12932,936,2438,397,1532,347,892,204,2007,335,1968,339,2105,320,1990,291,18,18
8600000US75063,75063,ZCTA5 75063,9044,608,9044,608,1576,285,1139,204,656,182,1705,330,1566,233,1476,284,926,177,0,27
