GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16
Id,Id2,Geography,Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total:,Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total:,Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Married-couple family -- - Total,Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Married-couple family -- - Total,Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Married-couple family -- - With own children under 18 years,Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Married-couple family -- - With own children under 18 years,Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Married-couple family -- - No own children under 18 years,Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Married-couple family -- - No own children under 18 years,Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Total,Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Total,"Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - Total","Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - Total","Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - With own children under 18 years","Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - With own children under 18 years","Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - No own children under 18 years","Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - No own children under 18 years","Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - Total","Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - Total","Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - With own children under 18 years","Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - With own children under 18 years","Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - No own children under 18 years","Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - No own children under 18 years"
8600000US73430,73430,ZCTA5 73430,56900,7090,56850,6804,72750,28958,41750,12019,60125,44247,52500,28347,-,**,-,**,62750,94820,-,**,24464,61896
8600000US73931,73931,ZCTA5 73931,68750,20490,80625,32704,90625,51130,76250,40452,50625,57933,-,**,-,**,-,**,50625,57933,29583,77237,-,**
8600000US73949,73949,ZCTA5 73949,55938,9873,59615,6410,55417,13094,62222,13820,14444,30451,-,**,-,**,-,**,27917,59145,-,**,49531,10926
8600000US75001,75001,ZCTA5 75001,68164,5269,78563,18967,60734,7030,99943,18360,46875,16220,68304,14738,-,**,69315,57006,45463,9221,28586,11607,63836,23497
8600000US75002,75002,ZCTA5 75002,101102,4901,111171,4495,110744,6349,111613,6820,46241,5091,46987,11591,38556,12623,59444,76339,45947,5480,41466,6076,50275,7676
8600000US75006,75006,ZCTA5 75006,61662,2991,68803,3982,58680,5813,82971,6735,41336,7062,52273,17411,42125,26081,55469,35246,39342,4501,31784,2999,54500,14721
8600000US75007,75007,ZCTA5 75007,88562,3992,98132,4271,91870,5509,105804,8275,52808,6183,73915,6750,70208,14821,74693,15742,47655,3642,45926,6803,49409,11160
8600000US75009,75009,ZCTA5 75009,99444,13427,105521,12314,92679,16924,111796,9355,61313,12960,64167,24476,63472,38649,64688,63514,49563,34822,31474,54522,61563,17257
8600000US75010,75010,ZCTA5 75010,84466,7232,92846,6995,93768,7386,91006,15904,53990,10634,76438,16569,49196,51588,77805,12246,47206,13566,38173,14526,54219,24003
8600000US75013,75013,ZCTA5 75013,151736,9988,158249,3748,168603,15768,138462,13923,90432,32626,109821,86336,158141,82215,67885,34375,79618,29080,73750,35244,90928,11968
8600000US75019,75019,ZCTA5 75019,126014,5716,139367,6803,140553,10771,138333,9021,65331,10201,74097,38468,73785,51013,95938,106757,61037,11706,60559,11222,70833,31482
8600000US75020,75020,ZCTA5 75020,57959,4880,67739,6261,66630,7943,68254,7375,29712,6513,29583,10951,32375,22539,27472,14035,29886,8499,23807,2862,38385,8184
8600000US75021,75021,ZCTA5 75021,50690,5429,63640,5692,64828,12757,62431,9020,21792,7275,29189,10427,27568,16020,39583,36146,20114,6731,16330,4401,30000,17563
8600000US75022,75022,ZCTA5 75022,152083,4774,159907,8708,164659,14917,153214,13307,71176,19191,101875,30080,150195,66819,71814,32925,57467,10090,55947,11140,72885,46416
8600000US75023,75023,ZCTA5 75023,83426,2706,92087,4317,95426,6100,88871,6279,49533,9140,59471,7382,56629,7894,62596,20461,42402,8467,31972,4508,70369,13811
8600000US75024,75024,ZCTA5 75024,116063,4269,125684,7156,131627,8641,119861,7654,62205,17336,137455,42011,143229,10036,77188,117087,41583,30483,62318,17469,24908,4310
8600000US75025,75025,ZCTA5 75025,121898,4935,135036,5474,139803,7696,124764,5633,60111,5566,86835,18315,97273,12315,68523,23373,53944,6873,40385,20368,66793,20391
8600000US75028,75028,ZCTA5 75028,118750,6240,129049,3484,131097,6908,126387,6550,67889,5647,87875,45226,80469,26977,112909,97198,66392,6439,62352,6492,83571,12951
8600000US75032,75032,ZCTA5 75032,100639,7972,113094,7310,118906,17908,110985,12671,61490,12041,89824,10268,51822,31065,93727,9220,51058,12957,32862,12023,61174,13011
8600000US75034,75034,ZCTA5 75034,123529,4980,131868,4025,133897,5298,127750,9359,52500,14281,44466,22136,57619,10506,43409,12459,54516,12987,47384,12080,77532,26483
