GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16
Id,Id2,Geography,Estimate; Median family income in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Total:,Margin of Error; Median family income in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Total:,Estimate; Median family income in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Married-couple family -- - Total,Margin of Error; Median family income in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Married-couple family -- - Total,Estimate; Median family income in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Married-couple family -- - With own children of the householder under 18 years,Margin of Error; Median family income in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Married-couple family -- - With own children of the householder under 18 years,Estimate; Median family income in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Married-couple family -- - No own children of the householder under 18 years,Margin of Error; Median family income in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Married-couple family -- - No own children of the householder under 18 years,Estimate; Median family income in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Other family -- - Total,Margin of Error; Median family income in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Other family -- - Total,"Estimate; Median family income in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - Total","Margin of Error; Median family income in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - Total","Estimate; Median family income in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - With own children of the householder under 18 years","Margin of Error; Median family income in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - With own children of the householder under 18 years","Estimate; Median family income in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - No own children of the householder under 18 years","Margin of Error; Median family income in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - No own children of the householder under 18 years","Estimate; Median family income in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - Total","Margin of Error; Median family income in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - Total","Estimate; Median family income in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - With own children of the householder under 18 years","Margin of Error; Median family income in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - With own children of the householder under 18 years","Estimate; Median family income in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - No own children of the householder under 18 years","Margin of Error; Median family income in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - No own children of the householder under 18 years"
8600000US73949,73949,ZCTA5 73949,58672,7670,58750,8621,42292,23888,64474,11264,58333,36464,87321,67896,-,**,-,**,36250,25539,"2,500-",***,55208,44006
8600000US75002,75002,ZCTA5 75002,104815,6033,114078,4872,115860,4215,111337,4073,46366,6926,40290,7537,40179,21550,42847,22229,53016,12069,42074,9495,63703,16041
8600000US75006,75006,ZCTA5 75006,61859,2708,72277,6540,60186,6453,84759,5070,41631,5142,49423,6267,41063,18318,54276,11341,40104,6800,30090,4871,56656,12296
8600000US75007,75007,ZCTA5 75007,84877,3953,95683,3557,89242,6876,100944,6566,51576,6190,69761,8527,66250,22554,71150,9956,45049,5757,39712,8593,49329,6713
8600000US75010,75010,ZCTA5 75010,89916,7394,101611,7677,100192,9508,103846,11602,57321,22386,81092,2489,83558,10360,80995,4615,40741,12227,32338,13428,52713,15271
8600000US75019,75019,ZCTA5 75019,129432,7708,141121,7576,145537,7455,135608,9717,60617,7120,77286,36666,76929,29515,103095,97713,55125,7940,56906,10000,52625,11244
8600000US75023,75023,ZCTA5 75023,81201,2586,89803,4708,90491,7345,89099,8752,53319,7030,61921,8961,58482,17659,62439,24824,47151,9024,32013,4755,73618,14642
8600000US75025,75025,ZCTA5 75025,130279,5896,141164,6405,149675,5403,129508,7067,62922,6504,101724,17558,102115,46945,68636,65009,59000,7187,50679,12452,72875,14730
8600000US75028,75028,ZCTA5 75028,118735,4738,129460,4739,130965,6162,126713,6306,72656,8561,115495,33405,86719,51206,116580,43464,68857,8550,67500,9154,74667,14330
8600000US75034,75034,ZCTA5 75034,125912,3811,136426,5718,140334,6974,129773,9798,48939,15625,46723,18374,64537,26243,42344,17616,52778,14631,47394,16899,62500,24488
8600000US75035,75035,ZCTA5 75035,120178,4060,130072,4013,136956,5181,107583,9268,69278,10728,79798,34477,64167,37824,95549,28598,63750,18573,64659,17297,58750,37426
8600000US75038,75038,ZCTA5 75038,48974,3932,65424,3397,63486,5305,67347,7100,29653,3644,41679,14157,36026,20143,46250,25012,23333,5613,21616,6622,27714,12778
8600000US75040,75040,ZCTA5 75040,59096,2736,66581,2875,62995,4625,72642,8074,40507,3563,44099,6031,40613,6429,65515,6264,38148,3423,29722,7616,53889,8135
8600000US75041,75041,ZCTA5 75041,41527,2414,49032,3886,41942,4524,61060,5770,27792,2951,36707,8328,27557,8901,56950,8567,26030,2815,18950,3643,46993,5373
8600000US75042,75042,ZCTA5 75042,38591,2975,49208,3975,45713,6094,52217,4248,27744,3587,29381,2869,25045,4898,42593,14112,24128,6288,19311,3294,33517,3337
8600000US75043,75043,ZCTA5 75043,61009,2626,73053,3760,65761,9404,78800,5659,34547,4724,42606,15480,24568,9236,65375,23614,33592,3904,26570,5935,45871,4330
8600000US75044,75044,ZCTA5 75044,64959,2603,79222,8161,71197,5707,83963,5757,35724,5237,40313,14651,37417,31375,40382,14095,33484,4725,29528,3255,40777,8408
8600000US75048,75048,ZCTA5 75048,95634,8648,104160,4928,104331,5579,103703,14700,60321,17124,81896,19527,80829,49948,98716,24553,54175,14312,54100,24785,55221,41524
8600000US75050,75050,ZCTA5 75050,51609,2489,62146,5105,54550,3886,66767,6896,32605,3276,47563,23264,38878,17607,63056,46268,31714,3373,23083,6483,49276,12670
8600000US75051,75051,ZCTA5 75051,42823,2883,54203,4605,49152,3360,64384,8183,27381,2627,32226,6398,25938,8964,36731,20379,25906,2786,18385,6595,31071,4361
8600000US75052,75052,ZCTA5 75052,73269,2703,86056,4157,85983,5923,86141,5040,45937,2735,50032,9914,32162,16550,62872,7939,45194,2972,39349,5332,54153,8421
