GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
8600000US75028,75028,ZCTA5 75028,30750,510,167,70,0,28,0,28,0,28,0,28,0,28,0,28,0,28,18,31,37,52,72,45,124,124,202,92,107,63,265,105,3161,325,573,130,1687,245,4446,398,2341,280,11385,511,4966,400,746,158,453,119
8600000US75032,75032,ZCTA5 75032,20555,675,142,78,0,28,0,28,20,39,20,37,13,26,0,28,0,28,441,212,270,179,79,77,327,183,49,54,196,120,351,166,2597,358,455,157,1722,393,3007,410,1519,235,5883,485,2464,433,548,172,452,220
8600000US75034,75034,ZCTA5 75034,60954,942,324,108,0,31,0,31,0,31,51,44,6,13,14,18,167,107,306,171,28,33,342,196,162,98,413,192,387,186,463,206,6343,657,769,236,3075,388,8369,573,3946,414,22609,754,10321,656,1906,300,953,215
8600000US75035,75035,ZCTA5 75035,40550,646,416,165,0,31,9,15,25,26,5,7,26,27,23,34,72,69,20,19,99,100,139,87,259,235,195,104,127,71,380,164,3084,347,501,148,2139,286,5762,455,2917,328,15129,576,7468,509,1149,240,606,168
8600000US75038,75038,ZCTA5 75038,19298,795,238,99,0,25,49,55,0,25,0,25,22,29,17,22,17,28,301,114,12,31,59,55,423,132,193,115,129,80,213,95,3439,521,506,153,724,241,2922,379,1501,299,5173,631,2917,508,257,124,186,98
8600000US75039,75039,ZCTA5 75039,13716,647,76,63,0,21,18,28,0,21,0,21,0,21,0,21,45,68,0,21,0,21,37,51,33,43,20,30,29,26,45,45,896,219,173,99,233,82,1526,311,759,220,5449,445,3470,374,526,159,381,143
8600000US75040,75040,ZCTA5 75040,38769,943,1563,342,15,24,0,31,82,78,374,236,378,194,307,157,229,109,1532,347,487,213,1037,333,1487,338,627,159,1117,255,1380,274,8157,752,1656,270,2137,325,6317,637,2539,331,5302,519,1613,254,199,98,234,133
8600000US75041,75041,ZCTA5 75041,19140,560,448,133,0,28,0,28,154,187,95,79,219,119,141,130,160,91,1479,312,272,133,385,173,1380,300,600,220,577,177,704,218,4689,508,804,180,1087,194,2742,364,869,189,1625,299,586,153,53,38,71,51
8600000US75042,75042,ZCTA5 75042,23592,810,1146,316,0,28,46,38,182,138,162,94,283,110,64,68,506,197,1723,353,292,127,626,200,1599,342,879,239,785,233,650,215,4647,430,924,218,1692,269,3245,442,1133,268,2318,333,459,140,134,95,97,64
8600000US75043,75043,ZCTA5 75043,38804,1026,442,170,13,15,0,31,64,92,76,65,92,79,0,31,144,91,649,225,301,153,559,223,702,223,683,184,516,172,848,232,7844,588,1901,252,3600,505,7269,638,3217,453,6695,575,2582,398,330,114,277,117
8600000US75044,75044,ZCTA5 75044,28712,978,606,251,23,32,0,28,74,76,93,74,20,24,14,23,20,25,499,226,109,117,140,87,469,260,426,182,356,156,621,154,4531,545,826,251,1733,289,4682,561,2364,380,7637,618,2725,358,516,159,228,92
8600000US75048,75048,ZCTA5 75048,15677,644,437,254,0,25,0,25,0,25,0,25,230,270,0,25,114,144,13,22,0,25,0,25,218,211,306,214,303,249,215,121,3337,613,283,198,1261,460,2238,458,1638,392,3466,484,1305,343,195,140,118,94
8600000US75050,75050,ZCTA5 75050,25403,896,599,172,0,28,5,9,12,18,43,47,134,71,58,45,184,134,1251,281,369,132,647,192,1196,274,510,156,496,189,593,195,6248,629,1217,244,1494,283,3532,389,1545,319,3460,451,1478,276,141,63,191,121
8600000US75051,75051,ZCTA5 75051,24120,870,765,202,0,28,0,28,64,57,110,80,279,140,157,86,172,96,1209,271,498,202,1289,332,1268,271,869,220,732,187,675,213,7298,665,1320,232,1055,236,2815,443,1168,271,1719,293,582,165,58,41,18,20
8600000US75052,75052,ZCTA5 75052,59698,1390,1172,345,11,17,0,31,0,31,15,24,360,255,160,147,342,197,904,453,368,191,634,290,1617,420,696,267,1216,341,1320,316,12163,935,2482,429,4117,455,10510,833,5142,641,11975,900,3690,469,475,171,329,113
8600000US75054,75054,ZCTA5 75054,6692,527,52,47,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,71,69,0,21,31,33,33,39,773,206,62,59,274,123,742,236,1059,266,2431,374,999,199,82,52,83,54
8600000US75056,75056,ZCTA5 75056,37503,1058,320,190,0,31,0,31,0,31,15,25,50,45,0,31,83,94,319,153,22,32,112,93,486,229,207,116,226,176,507,202,5998,795,1042,301,2832,450,6485,670,2860,512,11326,817,3505,495,725,302,383,168
8600000US75057,75057,ZCTA5 75057,9305,502,273,119,0,21,0,21,24,39,83,75,164,102,99,81,104,84,376,143,51,43,229,122,447,159,130,76,270,106,272,103,1700,256,278,102,622,144,1486,227,581,119,1611,257,412,117,50,40,43,26
8600000US75058,75058,ZCTA5 75058,1788,190,44,54,0,13,0,13,0,13,0,13,0,13,25,39,14,16,9,14,0,13,42,47,14,22,7,8,33,35,3,10,371,132,82,70,142,54,246,61,128,45,464,121,128,53,17,16,19,15
8600000US75060,75060,ZCTA5 75060,28913,695,1252,268,10,16,16,30,53,45,143,72,486,209,203,120,287,110,2144,386,477,229,482,145,2018,401,894,235,946,192,675,194,6515,551,1234,201,1669,234,3575,436,1702,285,2986,413,954,182,98,57,94,54
8600000US75061,75061,ZCTA5 75061,32268,766,1264,287,41,55,0,31,23,27,205,83,343,117,213,88,589,175,2398,406,499,151,884,205,2748,397,856,205,803,184,505,127,7608,592,1075,189,1617,196,3846,380,1877,222,3393,352,1193,177,122,45,166,78
8600000US75062,75062,ZCTA5 75062,29676,963,673,217,0,28,14,17,0,28,108,118,341,225,218,140,150,87,1186,343,217,151,464,197,1349,257,539,161,693,220,547,179,6253,595,1014,190,1700,337,4712,542,1881,334,5011,459,1899,320,474,177,233,106
8600000US75063,75063,ZCTA5 75063,26490,684,224,126,0,28,0,28,0,28,0,28,2,4,0,28,7,11,25,36,30,30,10,16,22,18,40,42,101,68,219,115,1707,310,168,93,697,149,2872,490,1625,258,10140,590,7206,615,848,199,547,168
8600000US75065,75065,ZCTA5 75065,8887,570,34,43,0,21,0,21,0,21,0,21,0,21,71,111,0,21,0,21,0,21,0,21,0,21,161,119,219,169,163,100,2237,419,289,115,831,282,1750,336,462,148,1989,409,524,171,103,59,54,52
8600000US75067,75067,ZCTA5 75067,43706,991,911,272,0,31,29,33,0,31,74,68,275,188,127,89,274,141,777,233,108,73,450,213,893,306,542,177,572,187,598,155,8436,734,1170,235,2893,385,6899,646,3746,443,10688,726,3635,340,300,111,309,96
8600000US75068,75068,ZCTA5 75068,35023,1105,430,184,0,31,2,16,26,30,39,43,170,139,44,55,0,31,442,217,42,61,296,189,245,143,289,187,114,88,528,171,5366,695,992,227,2918,429,5776,584,2710,469,9941,835,3816,570,301,107,536,181
8600000US75069,75069,ZCTA5 75069,24182,896,485,229,0,28,44,48,32,35,94,97,89,78,100,90,438,246,1052,298,171,120,240,135,657,264,213,117,344,160,462,167,5529,577,592,142,1266,225,3409,426,1715,322,5095,415,1577,256,376,135,202,99
8600000US75070,75070,ZCTA5 75070,59178,1044,266,125,0,31,7,11,0,31,0,31,23,31,34,55,199,281,248,159,36,66,76,60,78,53,384,180,317,147,409,183,6244,645,866,193,3349,419,9466,701,5559,616,21571,927,8135,639,1220,209,691,185
8600000US75071,75071,ZCTA5 75071,31080,783,241,120,8,12,0,28,0,28,0,28,59,49,26,36,277,187,288,148,123,121,214,142,130,116,127,73,194,82,401,169,4216,530,808,233,2238,333,4469,559,3569,469,8848,705,3695,383,845,233,304,106
8600000US75074,75074,ZCTA5 75074,31448,831,947,297,0,28,0,28,50,77,64,57,214,119,339,205,606,229,832,291,165,105,458,175,725,210,517,176,328,108,308,120,5590,544,1059,292,1466,239,4562,489,2284,365,7666,603,2659,355,388,136,221,105
8600000US75075,75075,ZCTA5 75075,25390,694,161,98,0,28,29,35,0,28,18,28,58,65,1,25,169,125,156,106,34,38,196,135,169,87,245,121,151,81,278,116,3065,434,591,173,1627,251,4486,534,1779,278,8102,570,3218,350,412,117,445,126
8600000US75076,75076,ZCTA5 75076,5362,419,6,9,0,19,0,19,0,19,0,19,0,19,0,19,0,19,7,11,0,19,16,20,90,84,109,74,107,89,34,29,1235,255,284,134,529,176,1166,289,414,128,873,192,362,159,40,34,90,78
8600000US75077,75077,ZCTA5 75077,24860,669,171,92,28,43,0,28,0,28,0,28,0,28,29,28,13,20,87,93,0,28,114,107,68,54,215,108,190,122,251,113,3449,392,621,166,2236,330,3643,358,1841,288,8143,464,2876,319,491,143,394,112
8600000US75078,75078,ZCTA5 75078,12149,527,93,57,0,25,0,25,0,25,0,25,15,25,0,25,41,27,74,88,0,25,33,28,4,6,24,30,56,44,48,33,1305,254,226,89,680,145,1689,227,1034,183,4856,433,1511,184,289,110,171,80
8600000US75080,75080,ZCTA5 75080,32631,962,189,106,0,31,0,31,0,31,54,47,78,77,160,136,119,97,897,359,16,17,290,172,578,224,425,187,197,99,261,160,3826,567,388,144,1259,243,4666,593,1763,310,11227,732,4920,479,669,163,649,174
8600000US75081,75081,ZCTA5 75081,26387,847,337,161,0,28,0,28,0,28,39,40,76,55,17,27,85,63,262,141,45,57,113,78,166,105,101,52,224,134,304,117,4172,528,520,151,1608,313,4338,437,2292,393,7969,710,3096,400,291,140,332,102
8600000US75082,75082,ZCTA5 75082,16656,524,98,62,22,33,0,25,10,16,11,16,0,25,0,25,0,25,81,66,26,36,38,61,0,25,10,17,140,151,208,88,1538,286,141,79,599,154,1768,353,889,207,6402,540,3433,344,664,195,578,188
8600000US75087,75087,ZCTA5 75087,21587,761,120,67,0,28,0,28,0,28,0,28,28,32,0,28,9,11,115,86,22,35,131,81,124,68,117,70,332,134,320,108,3508,515,481,180,1574,282,3179,416,1828,333,6514,650,2549,392,356,124,280,97
8600000US75088,75088,ZCTA5 75088,17922,619,255,113,18,28,0,25,0,25,0,25,14,29,0,25,0,25,137,91,22,31,218,227,207,105,202,132,268,117,101,65,3437,448,556,178,1714,308,3461,375,1520,259,3798,429,1614,268,191,98,189,108
8600000US75089,75089,ZCTA5 75089,20864,638,235,159,0,28,0,28,0,28,0,28,0,28,0,28,146,117,163,94,103,100,89,91,68,53,27,34,235,123,379,193,4151,619,464,157,1540,315,4136,692,1973,361,5023,641,1465,364,470,221,197,179
8600000US75090,75090,ZCTA5 75090,14398,634,261,115,0,25,0,25,32,39,23,33,103,62,30,47,48,47,458,178,72,66,115,71,511,244,380,167,399,151,394,169,4066,547,1124,257,934,245,2375,303,1350,293,1169,226,417,127,79,62,58,73
8600000US75092,75092,ZCTA5 75092,16835,746,147,94,0,25,0,25,0,25,0,25,21,27,0,25,28,32,76,54,53,51,191,112,223,118,213,98,182,76,225,96,3457,399,964,228,1347,254,3340,479,1806,303,2969,366,1028,221,318,122,247,132
8600000US75093,75093,ZCTA5 75093,34274,702,239,119,0,28,0,28,27,46,10,16,0,28,12,20,23,30,64,70,0,28,27,34,27,26,120,85,225,124,225,115,2911,497,307,135,1184,241,4153,545,1796,296,13484,726,6989,575,1667,315,784,181
8600000US75094,75094,ZCTA5 75094,14173,521,217,136,9,15,0,25,0,25,0,25,0,25,0,25,47,57,15,25,0,25,12,18,24,38,83,81,96,94,343,183,1958,330,240,140,735,224,1444,276,964,288,5244,536,1900,307,593,189,249,120
8600000US75098,75098,ZCTA5 75098,33489,999,394,189,0,31,0,31,59,65,40,66,7,13,25,34,59,70,385,261,55,66,345,176,342,201,591,275,442,254,301,128,6813,819,1396,388,2201,369,5642,673,2906,438,8478,636,2584,445,197,97,227,123
8600000US75101,75101,ZCTA5 75101,410,71,29,23,0,13,0,13,0,13,12,14,8,12,0,13,1,3,16,16,36,20,6,9,20,15,15,15,23,13,9,7,104,33,23,17,20,13,33,19,25,15,26,16,4,7,0,13,0,13
8600000US75102,75102,ZCTA5 75102,906,241,0,13,0,13,0,13,0,13,20,31,16,25,0,13,0,13,92,107,0,13,0,13,38,25,11,13,0,13,32,38,289,111,66,35,37,31,108,67,90,99,98,54,9,9,0,13,0,13
8600000US75103,75103,ZCTA5 75103,9821,608,107,120,0,21,0,21,0,21,0,21,28,36,0,21,69,59,33,47,9,13,91,61,62,59,380,223,332,143,193,113,2502,289,579,162,848,177,1899,351,708,214,1437,338,429,169,45,37,70,54
8600000US75104,75104,ZCTA5 75104,29930,743,245,98,0,28,15,17,25,40,32,50,53,43,0,28,81,87,264,106,31,28,162,87,411,197,551,201,219,99,422,148,5968,466,816,233,2179,314,6455,642,2702,440,5480,510,2931,354,565,218,323,122
8600000US75105,75105,ZCTA5 75105,151,57,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,1,2,0,13,7,12,13,13,38,28,13,20,1,2,48,29,20,23,10,10,0,13,0,13,0,13
8600000US75109,75109,ZCTA5 75109,2836,273,31,30,0,13,0,13,0,13,0,13,0,13,11,13,10,11,17,19,3,4,10,8,46,47,26,15,110,48,41,26,710,149,130,52,146,45,572,146,245,75,437,98,229,104,53,37,9,9
8600000US75110,75110,ZCTA5 75110,18320,496,402,166,0,25,0,25,0,25,224,116,137,100,39,32,44,41,733,224,194,108,412,170,841,212,511,190,725,190,350,136,3888,544,998,223,1101,228,3242,431,1708,288,1735,302,765,213,208,123,63,59
8600000US75114,75114,ZCTA5 75114,3949,432,47,66,0,19,0,19,0,19,0,19,2,6,0,19,0,19,153,214,6,13,11,11,133,115,77,49,106,84,124,94,1307,292,167,83,434,102,622,147,264,91,381,88,102,43,0,19,13,14
8600000US75115,75115,ZCTA5 75115,35250,1021,332,141,0,31,5,11,0,31,24,28,94,68,29,48,21,23,235,116,97,100,321,128,671,286,602,237,854,281,815,325,6548,664,1006,262,2261,373,7945,741,3343,427,6353,706,2968,502,457,210,269,117
8600000US75116,75116,ZCTA5 75116,12497,562,315,141,0,21,21,33,0,21,50,60,89,66,62,80,131,120,220,103,44,36,142,89,706,211,357,135,485,227,246,90,2959,409,503,221,986,230,2174,387,705,175,1448,254,688,152,105,70,61,32
8600000US75117,75117,ZCTA5 75117,2708,248,12,11,0,13,0,13,0,13,0,13,0,13,0,13,5,7,45,53,27,33,21,20,74,60,110,84,64,40,54,32,770,180,114,57,172,59,510,145,230,74,347,103,150,71,0,13,3,4
8600000US75119,75119,ZCTA5 75119,17350,547,222,123,0,25,0,25,80,88,36,37,130,107,66,59,107,65,751,271,356,200,455,174,809,324,334,112,468,224,297,140,4663,554,839,198,1368,216,2532,384,1450,280,1586,289,576,143,125,75,100,49
8600000US75124,75124,ZCTA5 75124,3158,540,35,31,0,13,0,13,0,13,0,13,16,19,0,13,11,14,17,20,19,23,22,20,27,21,128,75,131,106,56,53,875,220,261,125,259,99,462,127,315,107,295,98,210,87,16,19,3,4
8600000US75125,75125,ZCTA5 75125,3825,426,80,36,0,19,0,19,0,19,0,19,12,27,12,19,13,22,218,134,0,19,94,107,123,81,212,129,194,110,185,98,947,248,355,138,224,76,512,187,216,106,241,89,106,52,49,59,32,47
8600000US75126,75126,ZCTA5 75126,25280,716,132,63,0,28,0,28,0,28,0,28,16,25,0,28,194,147,62,61,82,74,88,74,298,210,204,88,372,170,374,133,5454,481,1219,264,2435,360,4317,540,2039,368,5369,558,2299,345,167,93,159,78
8600000US75127,75127,ZCTA5 75127,1142,169,18,14,0,13,0,13,0,13,0,13,0,13,4,7,6,9,11,16,6,10,44,31,21,21,25,14,44,25,53,35,367,84,114,41,104,43,174,63,47,35,58,31,42,22,4,6,0,13
8600000US75132,75132,ZCTA5 75132,1134,292,16,24,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,17,28,0,13,0,13,0,13,0,13,11,18,215,178,75,90,25,42,336,177,100,126,243,132,21,33,51,67,24,41
8600000US75134,75134,ZCTA5 75134,12729,617,104,78,0,25,0,25,0,25,26,36,31,39,30,39,52,49,182,126,28,37,86,58,332,195,199,106,267,152,357,175,3317,434,645,192,1020,252,3068,496,876,236,1626,411,423,175,45,46,15,24
8600000US75135,75135,ZCTA5 75135,4332,399,4,6,0,19,0,19,0,19,0,19,0,19,0,19,20,24,16,25,50,70,6,10,120,83,44,36,62,61,62,47,1253,255,337,119,381,106,954,305,383,142,489,153,140,60,8,13,3,5
8600000US75137,75137,ZCTA5 75137,12700,535,131,74,0,21,0,21,42,66,52,47,27,25,9,13,85,88,301,132,39,53,144,87,237,112,163,79,173,103,250,110,2665,476,456,150,1062,201,2539,434,870,220,1922,286,1232,260,203,87,98,55
8600000US75140,75140,ZCTA5 75140,4680,356,90,36,0,19,0,19,0,19,0,19,14,21,0,19,11,16,52,42,53,48,159,99,195,93,281,105,228,116,85,49,1295,214,314,82,302,85,680,150,285,111,424,112,143,88,54,54,15,23
8600000US75141,75141,ZCTA5 75141,3880,214,62,39,0,19,7,14,0,19,56,44,43,30,18,22,5,8,71,43,15,19,184,94,268,91,136,69,192,76,58,44,1002,164,438,106,226,78,706,159,131,59,190,64,72,44,0,19,0,19
8600000US75142,75142,ZCTA5 75142,12620,649,230,97,0,21,0,21,32,38,37,41,63,49,32,47,43,36,174,65,56,41,286,148,460,102,443,146,269,80,250,78,3533,363,1116,244,1098,212,1811,264,1070,213,1112,224,400,118,31,22,74,63
8600000US75143,75143,ZCTA5 75143,10109,544,161,96,0,21,0,21,0,21,11,17,13,10,6,7,37,43,95,71,61,46,386,136,253,84,410,138,446,171,168,76,2857,398,891,182,682,157,1354,264,672,143,1174,191,364,122,42,35,26,23
8600000US75144,75144,ZCTA5 75144,2295,226,22,17,0,13,0,13,1,4,0,13,0,13,0,13,10,17,56,31,0,13,53,41,32,27,39,33,78,44,12,11,770,210,73,31,160,55,442,107,170,62,198,58,163,67,0,13,16,17
8600000US75146,75146,ZCTA5 75146,11586,623,118,86,0,21,0,21,8,20,32,48,50,72,19,24,0,21,59,62,15,27,106,97,383,170,237,106,333,177,185,84,2741,390,422,175,828,222,2323,432,1311,254,1669,352,652,217,95,54,0,21
8600000US75147,75147,ZCTA5 75147,4268,461,10,12,0,19,0,19,0,19,0,19,46,58,2,4,3,5,2,4,13,21,41,30,75,85,170,85,102,95,85,66,1556,322,315,176,291,147,332,132,462,163,512,171,189,86,5,11,57,53
8600000US75148,75148,ZCTA5 75148,3845,325,87,64,0,19,0,19,18,28,0,19,0,19,0,19,0,19,51,40,16,19,95,74,147,83,131,59,109,46,27,16,1048,167,174,50,280,75,803,204,264,75,415,82,143,54,19,21,18,15
8600000US75149,75149,ZCTA5 75149,33497,1048,579,198,0,31,0,31,11,20,96,66,107,75,27,20,76,55,1363,269,416,138,625,194,1867,370,687,192,941,246,901,249,8391,758,1995,309,2993,339,5398,542,2338,431,3253,451,1236,300,170,148,27,34
8600000US75150,75150,ZCTA5 75150,37907,851,828,267,0,31,0,31,27,31,91,61,226,125,124,92,164,83,1129,294,176,113,484,175,1769,355,828,234,1039,285,957,248,9326,693,1826,294,2780,403,6596,500,2795,498,4808,545,1665,271,224,113,45,37
8600000US75152,75152,ZCTA5 75152,2733,369,40,34,0,13,8,13,0,13,50,64,0,13,10,16,10,16,90,80,81,84,89,65,61,44,87,55,73,64,70,45,639,163,163,79,169,71,550,147,206,87,277,130,42,31,18,19,0,13
8600000US75153,75153,ZCTA5 75153,304,107,59,56,0,13,0,13,0,13,0,13,0,13,0,13,47,70,0,13,0,13,0,13,2,3,0,13,5,8,0,13,59,41,21,24,47,45,32,27,3,4,29,32,0,13,0,13,0,13
8600000US75154,75154,ZCTA5 75154,25034,886,197,100,0,28,9,14,155,171,28,42,126,99,62,55,2,4,594,329,354,317,269,166,718,225,443,182,759,277,435,134,5328,571,1204,259,2087,337,4854,495,1488,260,4058,443,1514,279,211,85,139,92
8600000US75155,75155,ZCTA5 75155,1804,238,41,26,0,13,0,13,0,13,24,26,4,7,0,13,0,13,97,54,18,18,53,38,123,68,72,37,110,51,64,39,419,99,123,75,136,56,241,61,116,56,139,58,22,21,2,5,0,13
8600000US75156,75156,ZCTA5 75156,11422,516,131,65,0,21,2,3,9,16,0,21,30,40,0,21,0,21,125,83,92,78,251,119,318,164,468,165,347,117,206,106,3233,422,1069,241,811,155,1700,295,680,166,1440,263,407,125,49,55,54,41
