GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
8600000US73430,73430,ZCTA5 73430,1019,177,27,37,22,31,0,9,0,9,0,9,0,9,4,6,0,9,0,9,0,9,0,9,23,21,37,36,8,12,46,40,343,82,44,33,45,27,145,46,48,27,141,67,81,35,5,7,0,9
8600000US73931,73931,ZCTA5 73931,316,49,6,8,0,9,0,9,0,9,0,9,0,9,3,5,0,9,0,9,3,5,0,9,9,9,4,4,15,14,3,5,107,30,10,10,13,7,42,19,25,18,55,20,17,13,4,6,0,9
8600000US73949,73949,ZCTA5 73949,991,149,9,12,0,11,0,11,0,11,22,22,12,12,2,4,0,11,26,18,9,10,24,28,32,27,16,14,37,25,8,8,270,78,61,33,33,20,125,41,17,13,244,66,17,12,1,3,26,33
8600000US75001,75001,ZCTA5 75001,11423,438,51,41,8,13,0,21,0,21,16,26,0,21,0,21,0,21,100,74,0,21,14,24,134,102,36,34,18,30,116,70,1195,230,107,66,352,144,1867,316,752,204,4316,427,1778,236,432,109,131,56
8600000US75002,75002,ZCTA5 75002,43166,1070,369,176,17,29,0,31,0,31,53,84,76,90,143,209,43,68,252,213,71,75,352,146,375,184,318,146,176,155,552,204,5718,561,951,239,3212,467,7102,741,3292,401,13718,933,4714,516,1021,261,641,248
8600000US75006,75006,ZCTA5 75006,33048,671,1158,344,28,32,0,31,60,95,130,81,354,180,170,97,384,136,1436,289,289,147,645,228,1274,264,607,181,426,138,548,146,7240,751,1004,201,1608,278,4577,417,1716,295,6392,487,2396,278,453,131,153,72
8600000US75007,75007,ZCTA5 75007,37346,922,707,180,9,13,7,12,19,25,113,94,19,23,70,56,22,35,619,244,120,88,350,118,722,219,393,154,316,119,497,133,6724,529,725,136,2027,240,5734,518,2860,337,10909,766,3577,368,500,135,307,90
8600000US75009,75009,ZCTA5 75009,6999,522,20,37,0,21,0,21,0,21,0,21,0,21,5,8,0,21,47,60,13,14,67,58,76,75,64,50,94,63,32,39,1402,329,343,142,484,254,1538,322,480,191,1746,295,506,173,54,53,28,35
8600000US75010,75010,ZCTA5 75010,19070,740,200,104,0,25,0,25,0,25,0,25,0,25,37,43,42,45,164,155,76,109,37,43,180,154,168,133,1,3,265,137,2723,493,236,167,902,232,3180,585,1465,331,6483,654,2179,333,549,167,183,89
8600000US75013,75013,ZCTA5 75013,24436,705,143,100,0,28,22,38,0,28,0,28,0,28,0,28,0,28,21,32,0,28,79,86,0,28,63,59,68,84,123,99,2033,386,256,120,917,257,2709,482,1609,365,9703,647,5205,602,870,282,615,209
8600000US75019,75019,ZCTA5 75019,28412,565,125,87,0,28,0,28,0,28,0,28,43,55,59,57,22,37,75,92,62,51,67,61,111,68,60,45,93,43,212,114,2315,405,323,102,920,191,3492,402,1491,251,11116,550,5985,447,1183,210,658,163
8600000US75020,75020,ZCTA5 75020,15626,484,160,86,0,25,0,25,10,16,3,7,14,19,37,40,18,24,74,57,38,37,236,143,306,128,347,128,274,105,286,114,3531,367,1275,217,1365,206,2775,381,1671,290,1918,290,911,189,184,84,193,89
8600000US75021,75021,ZCTA5 75021,5989,404,27,24,0,19,0,19,0,19,9,14,33,49,5,9,24,37,22,30,40,38,111,52,117,67,201,94,147,52,91,46,1821,301,393,105,428,100,1187,255,514,110,516,126,196,88,60,54,47,45
8600000US75022,75022,ZCTA5 75022,15537,443,93,66,0,25,0,25,0,25,0,25,0,25,8,13,0,25,15,23,0,25,36,31,28,37,0,25,58,45,149,80,1348,232,196,85,624,142,1745,230,762,187,7021,473,2738,261,468,116,248,75
8600000US75023,75023,ZCTA5 75023,34895,724,171,88,11,17,0,28,60,73,22,32,27,36,81,113,22,27,140,83,63,51,159,97,241,123,305,108,213,100,319,112,4626,520,598,171,2079,277,5992,631,2538,325,11302,659,4613,477,787,287,526,168
8600000US75024,75024,ZCTA5 75024,29656,666,154,90,0,28,0,28,0,28,0,28,11,21,0,28,11,18,27,27,0,28,17,27,19,31,173,94,73,56,94,64,2050,342,232,124,1207,239,3263,399,1347,249,12605,675,6675,516,953,225,745,144
8600000US75025,75025,ZCTA5 75025,35786,697,140,99,0,31,0,31,0,31,0,31,0,31,32,41,87,77,19,32,83,76,70,53,61,76,157,99,116,79,97,70,2519,324,275,102,1389,242,3871,475,2546,399,14213,722,8002,617,1093,213,1016,220
