GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In households:,Margin of Error; In households:,Estimate; In households: - Under 3 years,Margin of Error; In households: - Under 3 years,Estimate; In households: - 3 and 4 years,Margin of Error; In households: - 3 and 4 years,Estimate; In households: - 5 years,Margin of Error; In households: - 5 years,Estimate; In households: - 6 to 8 years,Margin of Error; In households: - 6 to 8 years,Estimate; In households: - 9 to 11 years,Margin of Error; In households: - 9 to 11 years,Estimate; In households: - 12 to 14 years,Margin of Error; In households: - 12 to 14 years,Estimate; In households: - 15 to 17 years,Margin of Error; In households: - 15 to 17 years,Estimate; In group quarters,Margin of Error; In group quarters
8600000US75065,75065,ZCTA5 75065,2592,286,2592,286,522,150,319,124,134,81,463,136,406,130,462,180,286,133,0,20
8600000US75067,75067,ZCTA5 75067,16203,958,16203,958,2835,468,2268,408,1259,373,2265,367,3019,420,2280,298,2277,365,0,30
8600000US75068,75068,ZCTA5 75068,12899,755,12899,755,2419,444,1631,329,878,214,2417,386,2344,379,1698,297,1512,268,0,27
8600000US75069,75069,ZCTA5 75069,9141,837,9065,843,1702,333,1031,296,663,189,1419,275,1423,280,1389,285,1438,354,76,76
8600000US75070,75070,ZCTA5 75070,25927,935,25927,935,3804,456,2707,361,1495,303,4570,505,4654,480,4311,412,4386,437,0,30
8600000US75071,75071,ZCTA5 75071,11282,762,11234,754,1521,319,1469,328,548,177,2102,347,2068,362,1954,368,1572,297,48,34
8600000US75074,75074,ZCTA5 75074,12811,899,12795,901,2276,349,1336,264,1090,211,2256,343,2241,349,1850,307,1746,301,16,23
8600000US75075,75075,ZCTA5 75075,7604,604,7602,604,1424,243,704,246,383,120,961,209,1320,239,1374,241,1436,239,2,3
8600000US75076,75076,ZCTA5 75076,1473,348,1473,348,193,94,104,66,12,14,285,152,307,129,308,130,264,99,0,18
8600000US75077,75077,ZCTA5 75077,9674,814,9673,814,1547,341,784,200,699,199,1329,237,1956,285,1722,322,1636,321,1,2
8600000US75078,75078,ZCTA5 75078,4296,313,4296,313,635,172,470,135,269,94,820,192,801,186,618,132,683,166,0,20
8600000US75080,75080,ZCTA5 75080,10089,689,10086,689,1612,284,1144,259,575,177,1915,319,1592,297,1668,208,1580,301,3,5
8600000US75081,75081,ZCTA5 75081,7672,598,7672,598,1229,261,1046,286,475,153,1075,233,1182,278,1553,294,1112,274,0,27
8600000US75082,75082,ZCTA5 75082,5444,429,5444,429,723,205,452,156,279,91,854,192,1334,249,899,168,903,191,0,24
8600000US75087,75087,ZCTA5 75087,8532,627,8532,627,1210,289,934,183,526,198,1444,287,1223,256,1637,278,1558,250,0,24
8600000US75088,75088,ZCTA5 75088,6563,514,6563,514,864,247,599,142,256,80,1033,251,972,209,1364,221,1475,276,0,24
8600000US75089,75089,ZCTA5 75089,8463,697,8463,697,903,298,659,240,602,236,1070,291,1593,394,1622,371,2014,422,0,24
8600000US75090,75090,ZCTA5 75090,6312,583,6295,585,972,225,813,214,428,156,1204,243,1044,222,986,218,848,185,17,23
8600000US75092,75092,ZCTA5 75092,4911,468,4903,463,700,195,544,160,273,106,691,216,1017,228,761,196,917,195,8,18
