GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
8600000US73430,73430,ZCTA5 73430,578,252
8600000US73931,73931,ZCTA5 73931,608,44
8600000US73949,73949,ZCTA5 73949,613,163
8600000US75001,75001,ZCTA5 75001,996,38
8600000US75002,75002,ZCTA5 75002,1196,56
8600000US75006,75006,ZCTA5 75006,907,26
8600000US75007,75007,ZCTA5 75007,1021,46
8600000US75009,75009,ZCTA5 75009,869,171
8600000US75010,75010,ZCTA5 75010,1137,60
8600000US75013,75013,ZCTA5 75013,1292,109
8600000US75019,75019,ZCTA5 75019,1172,48
8600000US75020,75020,ZCTA5 75020,733,32
8600000US75021,75021,ZCTA5 75021,610,74
8600000US75022,75022,ZCTA5 75022,"2,000+",***
8600000US75023,75023,ZCTA5 75023,1116,46
8600000US75024,75024,ZCTA5 75024,1145,36
8600000US75025,75025,ZCTA5 75025,1151,37
8600000US75028,75028,ZCTA5 75028,1570,112
8600000US75032,75032,ZCTA5 75032,1381,182
8600000US75034,75034,ZCTA5 75034,1154,45
8600000US75035,75035,ZCTA5 75035,1375,71
8600000US75038,75038,ZCTA5 75038,862,17
8600000US75039,75039,ZCTA5 75039,1192,46
8600000US75040,75040,ZCTA5 75040,1035,53
8600000US75041,75041,ZCTA5 75041,861,28
8600000US75042,75042,ZCTA5 75042,780,21
8600000US75043,75043,ZCTA5 75043,946,29
8600000US75044,75044,ZCTA5 75044,1045,53
8600000US75048,75048,ZCTA5 75048,1246,406
8600000US75050,75050,ZCTA5 75050,830,23
8600000US75051,75051,ZCTA5 75051,817,30
8600000US75052,75052,ZCTA5 75052,1075,37
8600000US75054,75054,ZCTA5 75054,1602,834
8600000US75056,75056,ZCTA5 75056,1104,34
8600000US75057,75057,ZCTA5 75057,925,49
8600000US75058,75058,ZCTA5 75058,838,127
8600000US75060,75060,ZCTA5 75060,821,29
8600000US75061,75061,ZCTA5 75061,763,16
8600000US75062,75062,ZCTA5 75062,842,22
8600000US75063,75063,ZCTA5 75063,1009,32
8600000US75065,75065,ZCTA5 75065,958,94
8600000US75067,75067,ZCTA5 75067,937,17
8600000US75068,75068,ZCTA5 75068,1311,112
8600000US75069,75069,ZCTA5 75069,893,31
8600000US75070,75070,ZCTA5 75070,1306,85
8600000US75071,75071,ZCTA5 75071,1156,55
8600000US75074,75074,ZCTA5 75074,987,32
8600000US75075,75075,ZCTA5 75075,963,35
8600000US75076,75076,ZCTA5 75076,937,145
8600000US75077,75077,ZCTA5 75077,1202,89
8600000US75078,75078,ZCTA5 75078,1257,127
8600000US75080,75080,ZCTA5 75080,1031,42
8600000US75081,75081,ZCTA5 75081,1052,35
8600000US75082,75082,ZCTA5 75082,1199,67
8600000US75087,75087,ZCTA5 75087,1121,104
8600000US75088,75088,ZCTA5 75088,1359,93
8600000US75089,75089,ZCTA5 75089,1452,276
8600000US75090,75090,ZCTA5 75090,752,93
8600000US75092,75092,ZCTA5 75092,789,21
8600000US75093,75093,ZCTA5 75093,1090,36
8600000US75094,75094,ZCTA5 75094,1760,163
8600000US75098,75098,ZCTA5 75098,1104,49
8600000US75101,75101,ZCTA5 75101,721,462
8600000US75102,75102,ZCTA5 75102,1190,543
8600000US75103,75103,ZCTA5 75103,674,128
8600000US75104,75104,ZCTA5 75104,1145,64
8600000US75105,75105,ZCTA5 75105,-,**
8600000US75109,75109,ZCTA5 75109,986,171
8600000US75110,75110,ZCTA5 75110,698,38
8600000US75114,75114,ZCTA5 75114,1109,107
8600000US75115,75115,ZCTA5 75115,932,39
8600000US75116,75116,ZCTA5 75116,916,52
8600000US75117,75117,ZCTA5 75117,604,96
8600000US75119,75119,ZCTA5 75119,832,45
8600000US75124,75124,ZCTA5 75124,801,46
8600000US75125,75125,ZCTA5 75125,791,107
