GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16
Id,Id2,Geography,Estimate; Median family income in the past 12 months (in 2016 inflation-adjusted dollars) -- - Total:,Margin of Error; Median family income in the past 12 months (in 2016 inflation-adjusted dollars) -- - Total:,Estimate; Median family income in the past 12 months (in 2016 inflation-adjusted dollars) -- - Married-couple family -- - Total,Margin of Error; Median family income in the past 12 months (in 2016 inflation-adjusted dollars) -- - Married-couple family -- - Total,Estimate; Median family income in the past 12 months (in 2016 inflation-adjusted dollars) -- - Married-couple family -- - With own children of the householder under 18 years,Margin of Error; Median family income in the past 12 months (in 2016 inflation-adjusted dollars) -- - Married-couple family -- - With own children of the householder under 18 years,Estimate; Median family income in the past 12 months (in 2016 inflation-adjusted dollars) -- - Married-couple family -- - No own children of the householder under 18 years,Margin of Error; Median family income in the past 12 months (in 2016 inflation-adjusted dollars) -- - Married-couple family -- - No own children of the householder under 18 years,Estimate; Median family income in the past 12 months (in 2016 inflation-adjusted dollars) -- - Other family -- - Total,Margin of Error; Median family income in the past 12 months (in 2016 inflation-adjusted dollars) -- - Other family -- - Total,"Estimate; Median family income in the past 12 months (in 2016 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - Total","Margin of Error; Median family income in the past 12 months (in 2016 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - Total","Estimate; Median family income in the past 12 months (in 2016 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - With own children of the householder under 18 years","Margin of Error; Median family income in the past 12 months (in 2016 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - With own children of the householder under 18 years","Estimate; Median family income in the past 12 months (in 2016 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - No own children of the householder under 18 years","Margin of Error; Median family income in the past 12 months (in 2016 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - No own children of the householder under 18 years","Estimate; Median family income in the past 12 months (in 2016 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - Total","Margin of Error; Median family income in the past 12 months (in 2016 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - Total","Estimate; Median family income in the past 12 months (in 2016 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - With own children of the householder under 18 years","Margin of Error; Median family income in the past 12 months (in 2016 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - With own children of the householder under 18 years","Estimate; Median family income in the past 12 months (in 2016 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - No own children of the householder under 18 years","Margin of Error; Median family income in the past 12 months (in 2016 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - No own children of the householder under 18 years"
8600000US73430,73430,ZCTA5 73430,66250,6828,68304,7228,74688,7478,58661,15452,-,**,-,**,-,**,-,**,-,**,-,**,-,**
8600000US73931,73931,ZCTA5 73931,68000,9285,74167,27817,94583,56443,72292,9185,35625,30071,-,**,-,**,-,**,36875,36053,35313,23994,-,**
8600000US73949,73949,ZCTA5 73949,62500,12439,63194,9193,36750,19191,70625,16125,56042,33743,89643,59687,-,**,-,**,-,**,"2,500-",***,39792,35476
8600000US75001,75001,ZCTA5 75001,85052,8152,94284,9157,71667,6941,106895,9992,42440,12031,91319,48614,-,**,90972,46505,40863,5529,35119,19583,58125,12548
8600000US75002,75002,ZCTA5 75002,103784,4134,113241,4382,116915,5339,107917,6212,54879,7072,43466,12822,49063,16356,37303,7259,59411,6855,52806,11736,72059,23489
8600000US75006,75006,ZCTA5 75006,63704,2958,74133,4591,63922,7934,84151,4163,41120,4109,50443,5423,37000,16110,57377,10441,36685,8042,28085,5245,51923,9579
8600000US75007,75007,ZCTA5 75007,88559,3767,98359,4006,92654,6457,102298,5262,53098,7292,59782,7583,60139,20034,59627,9657,45347,4594,42011,8667,49423,8913
8600000US75009,75009,ZCTA5 75009,103467,13922,107369,18950,105729,19443,114056,26462,63214,34050,-,**,-,**,-,**,64345,26059,-,**,64821,29026
8600000US75010,75010,ZCTA5 75010,99115,4732,105620,7551,103475,10119,109038,8552,67039,16646,82093,7251,85417,10716,74362,16324,56797,12822,46324,21473,72438,31257
8600000US75013,75013,ZCTA5 75013,140861,11744,153028,11551,165160,15528,120804,31429,63667,7062,101426,44538,100721,71166,119219,53292,62443,7908,61705,8781,62726,45903
8600000US75019,75019,ZCTA5 75019,132151,5799,147784,6659,153135,5776,138198,8815,57682,11761,77287,42332,92784,38976,-,**,52563,8074,56161,17282,49704,6681
8600000US75020,75020,ZCTA5 75020,64029,4302,71721,5422,77308,10184,69859,5951,36010,4687,39355,7533,45000,28286,37823,12528,33944,5543,31711,18113,36875,10768
8600000US75021,75021,ZCTA5 75021,53800,4849,62136,8218,66607,10701,60321,10358,18250,2404,18802,6690,19012,7432,-,**,17422,5339,12600,4339,43393,35178
8600000US75022,75022,ZCTA5 75022,152901,6717,162019,8608,168279,5729,149256,6474,76125,21248,74568,62875,-,**,74318,67891,77900,28926,75250,29079,88750,63247
8600000US75023,75023,ZCTA5 75023,85944,4030,95732,5228,95792,7842,95672,7592,55194,4729,58144,7097,55278,7808,77596,30739,53068,9310,35975,12764,74259,12016
8600000US75024,75024,ZCTA5 75024,115795,7287,127108,9356,140250,9481,112804,9983,51750,17538,43388,11910,50547,27028,42730,11552,61013,13304,61731,19890,60553,22391
8600000US75025,75025,ZCTA5 75025,129079,5776,139192,7388,149295,9524,128059,6608,63929,4248,104015,25249,104811,69083,62955,55729,62629,5109,54688,5954,74556,11922
8600000US75028,75028,ZCTA5 75028,118692,4728,130093,3222,131462,4398,127155,5639,68438,8622,91000,35461,83125,25686,131607,82985,64107,8129,62263,6019,74423,14625
8600000US75032,75032,ZCTA5 75032,104604,8023,117009,9736,124713,9074,111913,11086,54727,20487,98413,19787,-,**,98810,17057,50280,14393,33750,19651,57125,36624
8600000US75034,75034,ZCTA5 75034,130124,3351,141317,6364,147470,5087,132403,7448,60369,4480,66250,27098,73661,32353,56645,54508,57841,7553,58679,5201,48024,15894
8600000US75035,75035,ZCTA5 75035,127334,4367,135385,3298,140960,3443,122168,11469,65181,11015,67188,16463,59928,21852,72813,32548,61750,15741,53750,13302,70197,16729
8600000US75038,75038,ZCTA5 75038,53027,8805,70510,4888,68688,7122,72938,7049,29677,5087,36250,19203,29899,9778,59417,32389,25993,8310,25469,8935,-,**
8600000US75039,75039,ZCTA5 75039,100000,9519,105694,14087,98565,16630,113712,21554,52596,30443,105278,82236,105972,68122,-,**,41925,4244,43200,9491,-,**
8600000US75040,75040,ZCTA5 75040,60719,2315,68528,4482,63869,3743,74319,6118,43145,2926,51468,9087,43892,6710,64423,7988,39507,3531,34474,3431,56024,7032
8600000US75041,75041,ZCTA5 75041,41954,4559,48591,5497,39969,2744,59913,9122,31293,3717,36010,4910,27411,7628,60742,6655,28825,2906,24015,5440,51429,6716
8600000US75042,75042,ZCTA5 75042,42205,3357,52862,4594,50395,5002,56834,5230,28284,2442,30742,3098,26273,5378,52198,15712,22836,4473,19359,2176,39861,11197
8600000US75043,75043,ZCTA5 75043,63136,3457,75040,2807,71837,5850,80510,3943,33896,4067,29875,17660,23750,5073,66667,30431,34417,4013,26944,3184,48553,8554
8600000US75044,75044,ZCTA5 75044,63754,2754,77787,8159,74078,8046,81088,8502,37870,4108,42464,18995,51326,25105,41214,17714,34787,6526,31771,4768,41667,9175
8600000US75048,75048,ZCTA5 75048,96867,5792,104056,5669,104771,7384,101580,16208,64323,18312,82391,30333,80965,25709,99708,23815,60528,20479,46638,16950,69781,62707
8600000US75050,75050,ZCTA5 75050,50917,2508,60500,5814,55088,7667,67670,6464,34744,3884,49630,11406,37731,12650,66007,13967,32470,4039,25377,6365,48784,9229
8600000US75051,75051,ZCTA5 75051,44207,3809,55353,4616,51866,4068,59514,7684,30113,3512,50253,24016,41765,29908,50708,25523,27282,2638,24471,5582,32350,4419
8600000US75052,75052,ZCTA5 75052,75769,2242,86396,1904,83969,3701,90431,4561,47409,4536,54357,14933,45417,22658,65368,14737,45365,2822,40252,4789,58914,13813
8600000US75054,75054,ZCTA5 75054,117540,9292,121152,14427,142000,19958,106411,14503,74219,17713,170634,158948,-,**,-,**,70625,9063,77581,16065,-,**
8600000US75056,75056,ZCTA5 75056,97377,6428,108575,7564,117321,13010,102083,7525,56006,7746,67813,23626,34813,26426,79861,20980,54900,8877,41250,20421,69063,23168
8600000US75057,75057,ZCTA5 75057,50143,5226,61058,7794,49314,4955,73889,10761,36573,5038,45250,32478,-,**,62813,42167,34556,4141,34182,6346,35417,31031
8600000US75058,75058,ZCTA5 75058,82969,15999,92891,15167,67431,29450,101087,9535,52730,3660,53080,16680,53162,44322,-,**,51818,9388,52159,5067,-,**
8600000US75060,75060,ZCTA5 75060,51424,1666,61250,2302,53856,6051,71358,7625,32098,3657,40433,5931,36857,5708,45560,10405,24034,6258,16120,3230,45902,4853
8600000US75061,75061,ZCTA5 75061,43699,2660,50886,2573,41761,2577,69608,3498,32762,3151,42424,7826,27441,8292,51841,5295,27956,4456,23068,3165,41196,6199
8600000US75062,75062,ZCTA5 75062,51690,3206,62764,5026,55617,5336,70462,7594,37230,3400,43636,8856,33673,7479,49888,9930,35170,5186,25454,5785,43153,4469
8600000US75063,75063,ZCTA5 75063,108553,6151,119777,8123,124089,8484,115968,5775,53700,7034,79489,25767,76689,25779,-,**,44864,10161,40188,7202,59907,34734
8600000US75065,75065,ZCTA5 75065,79665,7935,89810,8799,95682,22738,88987,7923,61111,40379,75264,58012,-,**,75865,13357,47050,43823,-,**,72612,56485
8600000US75067,75067,ZCTA5 75067,66936,2697,79785,3680,75258,5831,84764,7442,41922,4328,52573,5934,46698,10756,54115,5681,38839,2455,31899,5245,55234,10475
8600000US75068,75068,ZCTA5 75068,92258,3281,101042,4524,98154,7608,104545,8320,51206,4870,53537,31851,52500,14857,79063,33487,50287,7139,47128,9192,52039,34456
8600000US75069,75069,ZCTA5 75069,62740,6469,75401,5525,77125,10597,74838,6209,31589,5456,32078,19461,32234,22573,31806,20088,30492,8597,21303,6709,44306,10942
